Serial Number:20506767 --

"Date Time, GMT -0400","Temp, (*C)","RH, (%)","DewPt, (*C)","Button Down","Host Connect","EOF"
2019-05-10 15:00:00,26.51,52.49,16.02, , , 
2019-05-10 15:15:00,26.42,50.37,15.30, , , 
2019-05-10 15:30:00,26.08,51.13,15.21, , , 
2019-05-10 15:45:00,25.95,51.42,15.18, , , 
2019-05-10 16:00:00,25.95,51.92,15.34, , , 
2019-05-10 16:15:00,25.87,51.61,15.16, , , 
2019-05-10 16:30:00,25.78,50.62,14.78, , , 
2019-05-10 16:45:00,25.65,50.02,14.48, , , 
2019-05-10 17:00:00,25.57,50.02,14.40, , , 
2019-05-10 17:15:00,25.48,50.53,14.48, , , 
2019-05-10 17:30:00,25.44,54.86,15.72, , , 
2019-05-10 17:45:00,21.96,50.59,11.26, , , 
2019-05-10 18:00:00,20.68,69.72,14.97, , , 
2019-05-10 18:15:00,22.26,69.99,16.55, , , 
2019-05-10 18:30:00,23.25,65.82,16.52, , , 
2019-05-10 18:45:00,23.64,63.24,16.26, , , 
2019-05-10 19:00:00,23.81,62.29,16.18, , , 
2019-05-10 19:15:00,23.89,61.83,16.15, , , 
2019-05-10 19:30:00,23.94,61.34,16.06, , , 
2019-05-10 19:45:00,23.81,60.82,15.81, , , 
2019-05-10 20:00:00,23.81,60.82,15.81, , , 
2019-05-10 20:15:00,23.85,60.60,15.79, , , 
2019-05-10 20:30:00,23.81,60.57,15.74, , , 
2019-05-10 20:45:00,23.85,60.60,15.79, , , 
2019-05-10 21:00:00,23.89,60.60,15.83, , , 
2019-05-10 21:15:00,23.94,60.85,15.94, , , 
2019-05-10 21:30:00,23.94,60.85,15.94, , , 
2019-05-10 21:45:00,24.02,60.85,16.02, , , 
2019-05-10 22:00:00,24.02,60.85,16.02, , , 
2019-05-10 22:15:00,24.06,61.13,16.13, , , 
2019-05-10 22:30:00,24.02,61.10,16.08, , , 
2019-05-10 22:45:00,24.06,61.13,16.13, , , 
2019-05-10 23:00:00,24.02,60.60,15.95, , , 
2019-05-10 23:15:00,23.85,60.36,15.73, , , 
2019-05-10 23:30:00,23.72,60.82,15.73, , , 
2019-05-10 23:45:00,23.81,61.06,15.87, , , 
2019-05-11 00:00:00,23.89,61.10,15.96, , , 
2019-05-11 00:15:00,23.98,61.34,16.10, , , 
2019-05-11 00:30:00,23.98,61.59,16.17, , , 
2019-05-11 00:45:00,24.02,61.83,16.27, , , 
2019-05-11 01:00:00,24.02,61.83,16.27, , , 
2019-05-11 01:15:00,24.02,61.83,16.27, , , 
2019-05-11 01:30:00,24.06,62.11,16.38, , , 
