Serial Number:20506767 --

"Date Time, GMT -0400","Temp, (*F)","RH, (%)","DewPt, (*F)","Button Down","Host Connect","EOF"
2019-05-10 15:00:00,79.72,52.49,60.84, , , 
2019-05-10 15:15:00,79.56,50.37,59.53, , , 
2019-05-10 15:30:00,78.95,51.13,59.39, , , 
2019-05-10 15:45:00,78.71,51.42,59.33, , , 
2019-05-10 16:00:00,78.71,51.92,59.61, , , 
2019-05-10 16:15:00,78.56,51.61,59.29, , , 
2019-05-10 16:30:00,78.40,50.62,58.61, , , 
2019-05-10 16:45:00,78.17,50.02,58.06, , , 
2019-05-10 17:00:00,78.02,50.02,57.92, , , 
2019-05-10 17:15:00,77.86,50.53,58.06, , , 
2019-05-10 17:30:00,77.79,54.86,60.29, , , 
2019-05-10 17:45:00,71.53,50.59,52.27, , , 
2019-05-10 18:00:00,69.22,69.72,58.94, , , 
2019-05-10 18:15:00,72.07,69.99,61.79, , , 
2019-05-10 18:30:00,73.85,65.82,61.74, , , 
2019-05-10 18:45:00,74.54,63.24,61.26, , , 
2019-05-10 19:00:00,74.85,62.29,61.13, , , 
2019-05-10 19:15:00,75.01,61.83,61.07, , , 
2019-05-10 19:30:00,75.08,61.34,60.91, , , 
2019-05-10 19:45:00,74.85,60.82,60.46, , , 
2019-05-10 20:00:00,74.85,60.82,60.46, , , 
2019-05-10 20:15:00,74.93,60.60,60.43, , , 
2019-05-10 20:30:00,74.85,60.57,60.34, , , 
2019-05-10 20:45:00,74.93,60.60,60.43, , , 
2019-05-10 21:00:00,75.01,60.60,60.50, , , 
2019-05-10 21:15:00,75.08,60.85,60.69, , , 
2019-05-10 21:30:00,75.08,60.85,60.69, , , 
2019-05-10 21:45:00,75.24,60.85,60.83, , , 
2019-05-10 22:00:00,75.24,60.85,60.83, , , 
2019-05-10 22:15:00,75.32,61.13,61.03, , , 
2019-05-10 22:30:00,75.24,61.10,60.95, , , 
2019-05-10 22:45:00,75.32,61.13,61.03, , , 
2019-05-10 23:00:00,75.24,60.60,60.72, , , 
2019-05-10 23:15:00,74.93,60.36,60.31, , , 
2019-05-10 23:30:00,74.70,60.82,60.31, , , 
2019-05-10 23:45:00,74.85,61.06,60.57, , , 
2019-05-11 00:00:00,75.01,61.10,60.73, , , 
2019-05-11 00:15:00,75.16,61.34,60.99, , , 
2019-05-11 00:30:00,75.16,61.59,61.10, , , 
2019-05-11 00:45:00,75.24,61.83,61.29, , , 
2019-05-11 01:00:00,75.24,61.83,61.29, , , 
2019-05-11 01:15:00,75.24,61.83,61.29, , , 
2019-05-11 01:30:00,75.32,62.11,61.48, , , 
2019-05-11 01:45:00,75.32,62.32,61.58, , , 
2019-05-11 02:00:00,75.24,62.08,61.40, , , 
2019-05-11 02:15:00,75.32,62.32,61.58, , , 
2019-05-11 02:30:00,75.39,62.60,61.78, , , 
2019-05-11 02:45:00,75.24,62.57,61.62, , , 
2019-05-11 03:00:00,75.39,62.84,61.89, , , 
2019-05-11 03:15:00,75.32,63.05,61.91, , , 
2019-05-11 03:30:00,75.32,62.81,61.80, , , 
2019-05-11 03:45:00,75.39,63.33,62.11, , , 
2019-05-11 04:00:00,75.32,63.30,62.02, , , 
2019-05-11 04:15:00,75.39,63.33,62.11, , , 
2019-05-11 04:30:00,75.39,63.57,62.22, , , 
2019-05-11 04:45:00,75.39,63.57,62.22, , , 
2019-05-11 05:00:00,75.39,63.82,62.33, , , 
2019-05-11 05:15:00,75.32,63.79,62.24, , , 
2019-05-11 05:30:00,75.32,64.03,62.35, , , 
2019-05-11 05:45:00,75.32,64.03,62.35, , , 
2019-05-11 06:00:00,75.39,64.30,62.54, , , 
2019-05-11 06:15:00,75.32,64.27,62.46, , , 
2019-05-11 06:30:00,75.32,64.27,62.46, , , 
2019-05-11 06:45:00,75.32,64.52,62.56, , , 
2019-05-11 07:00:00,75.39,64.55,62.65, , , 
2019-05-11 07:15:00,75.39,64.76,62.74, , , 
2019-05-11 07:30:00,75.24,64.52,62.49, , , 
2019-05-11 07:45:00,75.47,64.55,62.72, , , 
2019-05-11 08:00:00,75.39,64.76,62.74, , , 
2019-05-11 08:15:00,75.39,64.55,62.65, , , 
2019-05-11 08:30:00,75.55,65.03,63.01, , , 
2019-05-11 08:45:00,75.47,64.79,62.83, , , 
2019-05-11 09:00:00,75.62,64.55,62.87, , , 
2019-05-11 09:15:00,75.78,64.82,63.14, , , 
2019-05-11 09:30:00,75.70,64.79,63.05, , , 
2019-05-11 09:45:00,75.78,64.82,63.14, , , 
2019-05-11 10:00:00,75.70,64.55,62.94, , , 
2019-05-11 10:15:00,75.86,64.82,63.21, , , 
2019-05-11 10:30:00,75.78,64.82,63.14, , , 
2019-05-11 10:45:00,75.78,64.58,63.03, , , 
2019-05-11 11:00:00,75.93,64.58,63.18, , , 
2019-05-11 11:15:00,75.86,64.58,63.10, , , 
2019-05-11 11:30:00,75.78,64.09,62.81, , , 
2019-05-11 11:45:00,75.86,64.09,62.89, , , 
2019-05-11 12:00:00,75.86,64.33,63.00, , , 
2019-05-11 12:15:00,75.70,64.30,62.84, , , 
2019-05-11 12:30:00,75.62,64.30,62.76, , , 
2019-05-11 12:45:00,75.70,64.30,62.84, , , 
2019-05-11 13:00:00,75.62,64.06,62.65, , , 
2019-05-11 13:15:00,75.55,64.06,62.58, , , 
2019-05-11 13:30:00,75.55,64.06,62.58, , , 
2019-05-11 13:45:00,75.62,64.06,62.65, , , 
2019-05-11 14:00:00,75.62,64.30,62.76, , , 
2019-05-11 14:15:00,75.62,64.30,62.76, , , 
2019-05-11 14:30:00,75.55,64.30,62.69, , , 
2019-05-11 14:45:00,75.47,64.06,62.51, , , 
2019-05-11 15:00:00,75.55,64.06,62.58, , , 
2019-05-11 15:15:00,75.55,64.06,62.58, , , 
2019-05-11 15:30:00,75.47,64.30,62.62, , , 
2019-05-11 15:45:00,75.47,64.30,62.62, , , 
2019-05-11 16:00:00,75.39,64.30,62.54, , , 
2019-05-11 16:15:00,75.47,64.06,62.51, , , 
2019-05-11 16:30:00,75.55,64.30,62.69, , , 
2019-05-11 16:45:00,75.78,64.09,62.81, , , 
2019-05-11 17:00:00,75.78,64.09,62.81, , , 
2019-05-11 17:15:00,81.65,75.27,73.11, , , 
2019-05-11 17:30:00,84.58,68.44,73.09, , , 
2019-05-11 17:45:00,83.96,68.89,72.70, , , 
2019-05-11 18:00:00,82.50,72.04,72.62, , , 
2019-05-11 18:15:00,81.65,74.36,72.75, , , 
2019-05-11 18:30:00,80.95,76.20,72.80, , , 
2019-05-11 18:45:00,80.57,77.66,72.99, , , 
2019-05-11 19:00:00,80.10,77.63,72.53, , , 
2019-05-11 19:15:00,79.87,77.94,72.43, , , 
2019-05-11 19:30:00,79.95,78.41,72.68, , , 
2019-05-11 19:45:00,79.79,78.87,72.70, , , 
2019-05-11 20:00:00,79.72,79.42,72.83, , , 
2019-05-11 20:15:00,79.64,79.87,72.93, , , 
2019-05-11 20:30:00,79.64,79.24,72.69, , , 
2019-05-11 20:45:00,79.64,79.87,72.93, , , 
2019-05-11 21:00:00,79.49,79.82,72.76, , , 
2019-05-11 21:15:00,79.64,79.76,72.88, , , 
2019-05-11 21:30:00,79.33,80.13,72.72, , , 
2019-05-11 21:45:00,79.10,78.84,72.01, , , 
2019-05-11 22:00:00,78.95,77.37,71.31, , , 
2019-05-11 22:15:00,79.02,79.70,72.26, , , 
2019-05-11 22:30:00,78.95,78.75,71.83, , , 
2019-05-11 22:45:00,78.64,77.80,71.17, , , 
2019-05-11 23:00:00,78.71,77.45,71.12, , , 
2019-05-11 23:15:00,78.79,80.71,72.41, , , 
