Serial Number:20382142 --

"Date Time, GMT -0400","Temp, (*F)","RH, (%)","DewPt, (*F)","Button Down","Host Connect","EOF"
2019-05-30 10:00:00,89.29,63.85,75.49, , , 
2019-05-30 10:15:00,89.83,63.42,75.80, , , 
2019-05-30 10:30:00,90.76,63.73,76.82, , , 
2019-05-30 10:45:00,90.22,62.93,75.93, , , 
2019-05-30 11:00:00,91.84,60.08,76.06, , , 
2019-05-30 11:15:00,93.00,59.65,76.92, , , 
2019-05-30 11:30:00,93.31,57.63,76.17, , , 
2019-05-30 11:45:00,91.76,59.52,75.70, , , 
2019-05-30 12:00:00,88.37,60.02,72.77, , , 
2019-05-30 12:15:00,89.83,59.65,73.96, , , 
2019-05-30 12:30:00,90.68,62.23,76.03, , , 
2019-05-30 12:45:00,89.60,64.12,75.91, , , 
2019-05-30 13:00:00,86.82,65.12,73.74, , , 
2019-05-30 13:15:00,90.22,60.42,74.70, , , 
2019-05-30 13:30:00,90.37,60.94,75.11, , , 
2019-05-30 13:45:00,89.29,63.60,75.37, , , 
2019-05-30 14:00:00,88.83,64.30,75.26, , , 
2019-05-30 14:15:00,88.37,64.27,74.81, , , 
2019-05-30 14:30:00,86.20,66.54,73.80, , , 
2019-05-30 14:45:00,85.35,65.46,72.50, , , 
2019-05-30 15:00:00,84.27,69.99,73.46, , , 
2019-05-30 15:15:00,82.50,75.07,73.85, , , 
2019-05-30 15:30:00,81.42,76.23,73.26, , , 
2019-05-30 15:45:00,81.26,74.30,72.35, , , 
2019-05-30 16:00:00,80.88,74.42,72.03, , , 
2019-05-30 16:15:00,81.11,77.25,73.36, , , 
2019-05-30 16:30:00,80.10,78.55,72.88, , , 
2019-05-30 16:45:00,80.34,74.16,71.40, , , 
2019-05-30 17:00:00,81.49,74.36,72.60, , , 
2019-05-30 17:15:00,81.88,78.18,74.46, , , 
2019-05-30 17:30:00,81.65,74.92,72.97, , , 
2019-05-30 17:45:00,80.72,76.23,72.59, , , 
2019-05-30 18:00:00,80.10,77.08,72.32, , , 
2019-05-30 18:15:00,79.79,77.86,72.32, , , 
2019-05-30 18:30:00,79.64,76.52,71.66, , , 
2019-05-30 18:45:00,79.87,77.48,72.25, , , 
2019-05-30 19:00:00,79.79,76.64,71.85, , , 
2019-05-30 19:15:00,79.72,78.49,72.48, , , 
2019-05-30 19:30:00,79.72,76.00,71.53, , , 
2019-05-30 19:45:00,79.79,77.86,72.32, , , 
2019-05-30 20:00:00,79.95,79.85,73.22, , , 
2019-05-30 20:15:00,79.95,79.27,73.00, , , 
2019-05-30 20:30:00,79.95,79.73,73.17, , , 
2019-05-30 20:45:00,80.10,79.76,73.34, , , 
2019-05-30 21:00:00,80.10,77.97,72.66, , , 
2019-05-30 21:15:00,80.10,77.92,72.64, , , 
2019-05-30 21:30:00,80.10,76.09,71.94, , , 
2019-05-30 21:45:00,80.26,75.65,71.91, , , 
2019-05-30 22:00:00,80.34,77.57,72.73, , , 
2019-05-30 22:15:00,80.18,78.03,72.76, , , 
2019-05-30 22:30:00,80.18,79.82,73.43, , , 
2019-05-30 22:45:00,80.26,79.33,73.32, , , 
2019-05-30 23:00:00,80.18,79.47,73.30, , , 
2019-05-30 23:15:00,78.33,82.93,72.76, , , 
2019-05-30 23:30:00,77.17,87.17,73.11, , , 
2019-05-30 23:45:00,77.25,87.62,73.34, , , 
2019-05-31 00:00:00,77.40,86.73,73.19, , , 
2019-05-31 00:15:00,77.63,86.34,73.28, , , 
2019-05-31 00:30:00,78.02,83.66,72.72, , , 
2019-05-31 00:45:00,78.17,81.36,72.05, , , 
2019-05-31 01:00:00,78.40,81.56,72.34, , , 
2019-05-31 01:15:00,78.64,78.78,71.54, , , 
2019-05-31 01:30:00,78.48,78.75,71.38, , , 
2019-05-31 01:45:00,78.56,81.59,72.51, , , 
2019-05-31 02:00:00,78.10,85.58,73.47, , , 
2019-05-31 02:15:00,77.48,86.45,73.17, , , 
2019-05-31 02:30:00,76.78,87.12,72.71, , , 
2019-05-31 02:45:00,75.93,87.57,72.03, , , 
2019-05-31 03:00:00,75.47,89.17,72.11, , , 
2019-05-31 03:15:00,75.08,87.04,71.01, , , 
2019-05-31 03:30:00,75.24,85.16,70.52, , , 
2019-05-31 03:45:00,75.16,86.00,70.74, , , 
2019-05-31 04:00:00,75.01,85.13,70.28, , , 
2019-05-31 04:15:00,75.24,86.59,71.01, , , 
2019-05-31 04:30:00,76.01,85.36,71.35, , , 
2019-05-31 04:45:00,76.17,85.83,71.66, , , 
2019-05-31 05:00:00,76.63,86.23,72.25, , , 
2019-05-31 05:15:00,77.25,85.97,72.77, , , 
2019-05-31 05:30:00,77.32,84.17,72.22, , , 
2019-05-31 05:45:00,77.25,83.16,71.79, , , 
2019-05-31 06:00:00,76.55,85.27,71.85, , , 
2019-05-31 06:15:00,76.32,86.17,71.93, , , 
2019-05-31 06:30:00,76.47,87.65,72.59, , , 
2019-05-31 06:45:00,76.71,87.12,72.64, , , 
2019-05-31 07:00:00,76.63,88.01,72.86, , , 
2019-05-31 07:15:00,75.01,87.87,71.22, , , 
2019-05-31 07:30:00,73.15,93.67,71.27, , , 
2019-05-31 07:45:00,72.84,92.01,70.44, , , 
2019-05-31 08:00:00,73.15,94.18,71.43, , , 
2019-05-31 08:15:00,73.08,92.03,70.67, , , 
2019-05-31 08:30:00,72.92,91.02,70.20, , , 
2019-05-31 08:45:00,72.54,90.11,69.52, , , 
2019-05-31 09:00:00,73.31,91.95,70.88, , , 
2019-05-31 09:15:00,73.93,90.39,70.98, , , 
2019-05-31 09:30:00,75.08,84.68,70.20, , , 
2019-05-31 09:45:00,76.32,77.54,68.83, , , 
2019-05-31 10:00:00,77.86,76.26,69.84, , , 
2019-05-31 10:15:00,80.26,72.45,70.64, , , 
2019-05-31 10:30:00,80.80,72.51,71.18, , , 
2019-05-31 10:45:00,82.27,71.12,72.02, , , 
2019-05-31 11:00:00,83.73,65.55,71.00, , , 
2019-05-31 11:15:00,84.66,62.44,70.45, , , 
2019-05-31 11:30:00,86.44,62.60,72.20, , , 
2019-05-31 11:45:00,85.66,61.80,71.09, , , 
2019-05-31 12:00:00,85.97,65.76,73.23, , , 
2019-05-31 12:15:00,86.59,66.33,74.07, , , 
2019-05-31 12:30:00,87.05,65.12,73.96, , , 
2019-05-31 12:45:00,85.74,67.99,74.00, , , 
2019-05-31 13:00:00,85.35,68.17,73.71, , , 
2019-05-31 13:15:00,84.51,70.35,73.84, , , 
2019-05-31 13:30:00,84.12,73.22,74.66, , , 
2019-05-31 13:45:00,82.03,75.30,73.49, , , 
2019-05-31 14:00:00,80.18,74.69,71.46, , , 
2019-05-31 14:15:00,80.10,77.08,72.32, , , 
2019-05-31 14:30:00,81.65,73.95,72.58, , , 
2019-05-31 14:45:00,83.42,74.48,74.51, , , 
2019-05-31 15:00:00,82.03,78.18,74.61, , , 
2019-05-31 15:15:00,77.01,74.30,68.26, , , 
2019-05-31 15:30:00,76.94,75.68,68.72, , , 
2019-05-31 15:45:00,77.79,75.42,69.43, , , 
2019-05-31 16:00:00,78.56,78.84,71.49, , , 
2019-05-31 16:15:00,78.10,76.87,70.29, , , 
2019-05-31 16:30:00,77.01,80.45,70.58, , , 
2019-05-31 16:45:00,75.93,81.62,69.95, , , 
2019-05-31 17:00:00,75.47,82.45,69.80, , , 
2019-05-31 17:15:00,74.70,81.13,68.57, , , 
2019-05-31 17:30:00,74.47,81.88,68.61, , , 
2019-05-31 17:45:00,74.93,77.83,67.59, , , 
2019-05-31 18:00:00,75.39,79.27,68.57, , , 
2019-05-31 18:15:00,74.62,83.83,69.46, , , 
2019-05-31 18:30:00,74.47,84.60,69.57, , , 
2019-05-31 18:45:00,74.70,83.69,69.48, , , 
2019-05-31 19:00:00,74.93,80.99,68.75, , , 
2019-05-31 19:15:00,75.47,79.79,68.84, , , 
2019-05-31 19:30:00,75.86,79.39,69.07, , , 
2019-05-31 19:45:00,76.09,78.49,68.96, , , 
2019-05-31 20:00:00,75.93,78.46,68.80, , , 
2019-05-31 20:15:00,75.78,81.08,69.61, , , 
2019-05-31 20:30:00,75.70,80.68,69.39, , , 
2019-05-31 20:45:00,75.93,78.41,68.78, , , 
2019-05-31 21:00:00,76.24,77.60,68.77, , , 
2019-05-31 21:15:00,76.47,76.61,68.62, , , 
2019-05-31 21:30:00,76.63,73.83,67.70, , , 
2019-05-31 21:45:00,76.86,74.33,68.12, , , 
2019-05-31 22:00:00,76.47,76.55,68.60, , , 
2019-05-31 22:15:00,76.47,76.67,68.65, , , 
2019-05-31 22:30:00,76.40,76.26,68.42, , , 
2019-05-31 22:45:00,76.40,78.93,69.42, , , 
2019-05-31 23:00:00,76.17,81.76,70.23, , , 
2019-05-31 23:15:00,75.93,83.52,70.63, , , 
2019-05-31 23:30:00,75.86,81.73,69.92, , , 
2019-05-31 23:45:00,76.32,78.46,69.17, , , 
2019-06-01 00:00:00,76.32,79.96,69.73, , , 
2019-06-01 00:15:00,76.32,78.12,69.04, , , 
2019-06-01 00:30:00,76.55,77.22,68.93, , , 
2019-06-01 00:45:00,75.70,79.30,68.88, , , 
2019-06-01 01:00:00,75.62,79.76,68.98, , , 
2019-06-01 01:15:00,76.32,79.79,69.66, , , 
2019-06-01 01:30:00,76.71,79.42,69.90, , , 
2019-06-01 01:45:00,77.01,79.13,70.10, , , 
2019-06-01 02:00:00,77.17,79.93,70.54, , , 
2019-06-01 02:15:00,77.48,80.53,71.07, , , 
2019-06-01 02:30:00,77.79,80.93,71.51, , , 
2019-06-01 02:45:00,77.71,82.30,71.93, , , 
2019-06-01 03:00:00,77.79,83.33,72.38, , , 
2019-06-01 03:15:00,77.86,83.18,72.40, , , 
2019-06-01 03:30:00,77.79,83.66,72.50, , , 
2019-06-01 03:45:00,77.94,83.81,72.70, , , 
2019-06-01 04:00:00,78.40,82.36,72.63, , , 
2019-06-01 04:15:00,76.78,82.73,71.18, , , 
2019-06-01 04:30:00,76.94,80.42,70.50, , , 
2019-06-01 04:45:00,75.70,82.02,69.87, , , 
2019-06-01 05:00:00,75.32,79.73,68.67, , , 
2019-06-01 05:15:00,76.24,80.73,69.93, , , 
2019-06-01 05:30:00,76.40,79.44,69.61, , , 
2019-06-01 05:45:00,76.78,78.52,69.65, , , 
2019-06-01 06:00:00,77.17,80.45,70.73, , , 
2019-06-01 06:15:00,76.71,82.16,70.90, , , 
2019-06-01 06:30:00,75.55,84.85,70.72, , , 
2019-06-01 06:45:00,75.32,85.24,70.63, , , 
2019-06-01 07:00:00,75.86,83.55,70.57, , , 
2019-06-01 07:15:00,75.55,84.29,70.52, , , 
2019-06-01 07:30:00,76.24,81.13,70.08, , , 
2019-06-01 07:45:00,77.01,78.95,70.03, , , 
2019-06-01 08:00:00,77.32,80.88,71.04, , , 
2019-06-01 08:15:00,76.71,81.82,70.78, , , 
2019-06-01 08:30:00,76.40,82.10,70.58, , , 
2019-06-01 08:45:00,76.86,78.98,69.89, , , 
2019-06-01 09:00:00,76.63,82.73,71.03, , , 
2019-06-01 09:15:00,76.24,82.56,70.59, , , 
2019-06-01 09:30:00,78.17,78.67,71.05, , , 
2019-06-01 09:45:00,78.71,79.30,71.81, , , 
2019-06-01 10:00:00,80.10,77.45,72.46, , , 
2019-06-01 10:15:00,83.96,71.89,73.97, , , 
2019-06-01 10:30:00,83.19,71.68,73.14, , , 
2019-06-01 10:45:00,82.65,74.95,73.95, , , 
2019-06-01 11:00:00,84.35,71.77,74.29, , , 
2019-06-01 11:15:00,86.51,66.30,73.98, , , 
2019-06-01 11:30:00,87.36,65.67,74.50, , , 
2019-06-01 11:45:00,87.29,65.91,74.54, , , 
2019-06-01 12:00:00,87.52,64.94,74.32, , , 
2019-06-01 12:15:00,86.13,64.55,72.82, , , 
2019-06-01 12:30:00,87.21,62.93,73.09, , , 
2019-06-01 12:45:00,86.82,64.12,73.28, , , 
2019-06-01 13:00:00,86.44,64.58,73.12, , , 
2019-06-01 13:15:00,88.98,62.32,74.47, , , 
2019-06-01 13:30:00,88.37,61.77,73.62, , , 
2019-06-01 13:45:00,87.75,63.45,73.84, , , 
2019-06-01 14:00:00,85.35,66.45,72.95, , , 
2019-06-01 14:15:00,85.90,65.52,73.04, , , 
2019-06-01 14:30:00,89.99,60.42,74.49, , , 
2019-06-01 14:45:00,93.08,56.82,75.53, , , 
2019-06-01 15:00:00,95.16,52.59,75.14, , , 
2019-06-01 15:15:00,92.07,55.76,74.03, , , 
2019-06-01 15:30:00,93.31,55.58,75.08, , , 
2019-06-01 15:45:00,94.47,51.80,74.04, , , 
2019-06-01 16:00:00,93.85,51.77,73.46, , , 
2019-06-01 16:15:00,94.54,51.54,73.97, , , 
2019-06-01 16:30:00,94.31,51.73,73.86, , , 
2019-06-01 16:45:00,87.13,62.41,72.77, , , 
2019-06-01 17:00:00,86.67,62.87,72.55, , , 
2019-06-01 17:15:00,84.58,66.87,72.41, , , 
2019-06-01 17:30:00,83.50,68.35,72.02, , , 
2019-06-01 17:45:00,83.35,69.69,72.45, , , 
2019-06-01 18:00:00,80.41,73.75,71.31, , , 
2019-06-01 18:15:00,78.87,77.31,71.21, , , 
2019-06-01 18:30:00,78.33,78.35,71.08, , , 
2019-06-01 18:45:00,77.86,79.67,71.12, , , 
2019-06-01 19:00:00,77.48,81.45,71.40, , , 
2019-06-01 19:15:00,77.32,81.76,71.36, , , 
2019-06-01 19:30:00,77.25,81.33,71.13, , , 
2019-06-01 19:45:00,77.25,81.39,71.15, , , 
2019-06-01 20:00:00,77.25,79.90,70.61, , , 
2019-06-01 20:15:00,77.40,79.96,70.78, , , 
2019-06-01 20:30:00,77.48,79.56,70.71, , , 
2019-06-01 20:45:00,77.63,78.55,70.48, , , 
2019-06-01 21:00:00,77.63,80.56,71.23, , , 
2019-06-01 21:15:00,77.56,80.91,71.28, , , 
2019-06-01 21:30:00,77.86,79.62,71.10, , , 
2019-06-01 21:45:00,77.94,80.08,71.35, , , 
2019-06-01 22:00:00,78.10,79.70,71.36, , , 
2019-06-01 22:15:00,78.17,80.56,71.75, , , 
2019-06-01 22:30:00,78.33,81.11,72.10, , , 
2019-06-01 22:45:00,78.33,82.02,72.43, , , 
2019-06-01 23:00:00,77.25,85.95,72.76, , , 
2019-06-01 23:15:00,76.24,87.48,72.30, , , 
2019-06-01 23:30:00,76.63,88.54,73.04, , , 
2019-06-01 23:45:00,76.32,88.37,72.68, , , 
2019-06-02 00:00:00,76.63,87.12,72.56, , , 
2019-06-02 00:15:00,76.78,86.25,72.42, , , 
2019-06-02 00:30:00,76.55,86.62,72.31, , , 
2019-06-02 00:45:00,76.71,87.12,72.64, , , 
2019-06-02 01:00:00,76.71,86.34,72.37, , , 
2019-06-02 01:15:00,76.71,86.67,72.48, , , 
2019-06-02 01:30:00,76.86,85.47,72.22, , , 
2019-06-02 01:45:00,77.09,84.93,72.26, , , 
2019-06-02 02:00:00,77.17,85.02,72.37, , , 
2019-06-02 02:15:00,77.09,83.69,71.83, , , 
2019-06-02 02:30:00,76.94,84.09,71.81, , , 
2019-06-02 02:45:00,76.86,84.43,71.86, , , 
2019-06-02 03:00:00,77.01,84.57,72.06, , , 
2019-06-02 03:15:00,77.32,85.97,72.85, , , 
2019-06-02 03:30:00,75.78,88.45,72.17, , , 
2019-06-02 03:45:00,74.85,91.73,72.34, , , 
2019-06-02 04:00:00,74.31,91.32,71.67, , , 
2019-06-02 04:15:00,74.78,93.01,72.67, , , 
2019-06-02 04:30:00,74.85,92.72,72.65, , , 
2019-06-02 04:45:00,74.85,91.73,72.34, , , 
2019-06-02 05:00:00,74.85,92.28,72.51, , , 
2019-06-02 05:15:00,74.78,92.14,72.39, , , 
2019-06-02 05:30:00,74.85,92.17,72.48, , , 
2019-06-02 05:45:00,75.08,91.76,72.58, , , 
2019-06-02 06:00:00,75.55,91.49,72.95, , , 
2019-06-02 06:15:00,76.09,90.14,73.04, , , 
2019-06-02 06:30:00,76.71,89.45,73.42, , , 
2019-06-02 06:45:00,77.09,88.95,73.64, , , 
2019-06-02 07:00:00,77.56,85.44,72.89, , , 
2019-06-02 07:15:00,78.33,83.69,73.04, , , 
2019-06-02 07:30:00,78.87,82.84,73.26, , , 
2019-06-02 07:45:00,80.18,81.28,73.97, , , 
2019-06-02 08:00:00,80.26,83.01,74.68, , , 
2019-06-02 08:15:00,79.25,84.40,74.19, , , 
2019-06-02 08:30:00,80.57,82.76,74.89, , , 
2019-06-02 08:45:00,83.35,76.87,75.38, , , 
2019-06-02 09:00:00,85.28,72.83,75.62, , , 
2019-06-02 09:15:00,85.12,73.86,75.89, , , 
2019-06-02 09:30:00,86.67,70.05,75.78, , , 
2019-06-02 09:45:00,89.45,67.57,77.34, , , 
2019-06-02 10:00:00,93.77,59.18,77.41, , , 
2019-06-02 10:15:00,92.07,61.59,77.02, , , 
2019-06-02 10:30:00,94.23,59.25,77.87, , , 
2019-06-02 10:45:00,93.46,60.20,77.64, , , 
2019-06-02 11:00:00,93.69,59.68,77.59, , , 
2019-06-02 11:15:00,96.01,56.33,77.99, , , 
2019-06-02 11:30:00,93.77,59.43,77.54, , , 
2019-06-02 11:45:00,94.62,57.76,77.46, , , 
2019-06-02 12:00:00,95.01,57.51,77.69, , , 
2019-06-02 12:15:00,92.92,62.17,78.11, , , 
2019-06-02 12:30:00,94.78,59.00,78.25, , , 
2019-06-02 12:45:00,95.70,56.01,77.54, , , 
2019-06-02 13:00:00,95.47,55.76,77.19, , , 
2019-06-02 13:15:00,97.01,53.03,77.10, , , 
2019-06-02 13:30:00,96.24,55.01,77.49, , , 
2019-06-02 13:45:00,97.63,53.57,77.97, , , 
2019-06-02 14:00:00,96.32,55.01,77.56, , , 
2019-06-02 14:15:00,95.62,56.29,77.62, , , 
2019-06-02 14:30:00,89.83,62.17,75.20, , , 
2019-06-02 14:45:00,93.23,60.70,77.67, , , 
2019-06-02 15:00:00,94.00,57.42,76.71, , , 
2019-06-02 15:15:00,92.00,60.85,76.58, , , 
2019-06-02 15:30:00,93.23,58.66,76.63, , , 
2019-06-02 15:45:00,93.23,59.65,77.14, , , 
2019-06-02 16:00:00,90.61,63.48,76.55, , , 
2019-06-02 16:15:00,87.75,67.18,75.55, , , 
2019-06-02 16:30:00,87.36,67.39,75.28, , , 
2019-06-02 16:45:00,88.44,65.76,75.57, , , 
2019-06-02 17:00:00,92.30,60.36,76.63, , , 
2019-06-02 17:15:00,87.98,63.48,74.08, , , 
2019-06-02 17:30:00,87.67,64.70,74.35, , , 
2019-06-02 17:45:00,88.60,64.30,75.04, , , 
