Serial Number:20506765 --

"Date Time, GMT -0400","Temp, (*F)","RH, (%)","DewPt, (*F)","Host Connect","Button Down","EOF"
2019-09-23 15:40:56,77.01,51.01,57.54, , , 
2019-09-23 15:55:56,77.25,48.93,56.60, , , 
2019-09-23 16:10:56,81.73,39.10,54.46, , , 
2019-09-23 16:25:56,79.64,69.42,68.79, , , 
2019-09-23 16:40:56,77.79,52.05,58.82, , , 
2019-09-23 16:55:56,74.78,49.76,54.80, , , 
2019-09-23 17:10:56,74.08,50.56,54.60, , , 
2019-09-23 17:25:56,73.31,55.51,56.46, , , 
2019-09-23 17:40:56,73.85,56.29,57.35, , , 
2019-09-23 17:55:56,74.16,59.52,59.20, , , 
2019-09-23 18:10:56,73.69,61.71,59.77, , , 
2019-09-23 18:25:56,74.23,56.79,57.96, , , 
2019-09-23 18:40:56,75.78,59.18,60.56, , , 
2019-09-23 18:55:56,76.01,60.45,61.37, , , 
2019-09-23 19:10:56,75.86,60.91,61.44, , , 
2019-09-23 19:25:56,74.78,54.60,57.37, , , 
2019-09-23 19:40:56,74.23,53.57,56.33, , , 
2019-09-23 19:55:56,74.00,53.03,55.84, , , 
2019-09-23 20:10:56,74.16,53.28,56.11, , , 
2019-09-23 20:25:56,73.23,53.98,55.61, , , 
2019-09-23 20:40:56,72.61,55.70,55.91, , , 
2019-09-23 20:55:56,72.30,53.66,54.59, , , 
2019-09-23 21:10:56,74.47,72.13,64.94, , , 
2019-09-23 21:25:56,75.70,70.94,65.65, , , 
2019-09-23 21:40:56,75.86,68.47,64.78, , , 
2019-09-23 21:55:56,76.17,66.30,64.15, , , 
2019-09-23 22:10:56,76.01,63.15,62.61, , , 
2019-09-23 22:25:56,76.40,65.37,63.96, , , 
2019-09-23 22:40:56,76.32,65.58,63.98, , , 
2019-09-23 22:55:56,76.63,71.86,66.91, , , 
2019-09-23 23:10:56,76.55,68.62,65.50, , , 
2019-09-23 23:25:56,76.86,73.34,67.72, , , 
2019-09-23 23:40:56,76.94,70.50,66.65, , , 
2019-09-23 23:55:56,77.09,69.06,66.21, , , 
2019-09-24 00:10:56,77.09,69.75,66.49, , , 
2019-09-24 00:25:56,77.25,70.67,67.02, , , 
2019-09-24 00:40:56,77.25,71.48,67.35, , , 
2019-09-24 00:55:56,77.40,71.18,67.38, , , 
2019-09-24 01:10:56,77.40,72.10,67.75, , , 
2019-09-24 01:25:56,77.48,70.61,67.22, , , 
2019-09-24 01:40:56,77.48,69.60,66.80, , , 
2019-09-24 01:55:56,77.48,69.24,66.65, , , 
2019-09-24 02:10:56,77.63,70.26,67.22, , , 
2019-09-24 02:25:56,77.71,70.58,67.43, , , 
2019-09-24 02:40:56,77.79,74.07,68.91, , , 
2019-09-24 02:55:56,77.71,75.88,69.54, , , 
2019-09-24 03:10:56,77.63,75.36,69.26, , , 
2019-09-24 03:25:56,77.63,75.30,69.24, , , 
2019-09-24 03:40:56,77.56,74.83,68.98, , , 
2019-09-24 03:55:56,77.56,76.29,69.55, , , 
2019-09-24 04:10:56,77.63,77.63,70.13, , , 
2019-09-24 04:25:56,77.48,76.73,69.64, , , 
2019-09-24 04:40:56,77.48,75.91,69.33, , , 
2019-09-24 04:55:56,77.63,73.01,68.34, , , 
2019-09-24 05:10:56,77.79,75.82,69.59, , , 
2019-09-24 05:25:56,77.79,78.29,70.53, , , 
2019-09-24 05:40:56,77.71,78.20,70.43, , , 
2019-09-24 05:55:56,77.63,77.80,70.20, , , 
2019-09-24 06:10:56,77.56,77.80,70.12, , , 
2019-09-24 06:25:56,77.56,76.87,69.77, , , 
2019-09-24 06:40:56,78.02,78.78,70.94, , , 
2019-09-24 06:55:56,78.33,77.89,70.91, , , 
2019-09-24 07:10:56,78.48,77.71,70.99, , , 
2019-09-24 07:25:56,78.79,77.34,71.15, , , 
2019-09-24 07:40:56,78.87,77.31,71.21, , , 
2019-09-24 07:55:56,78.33,69.39,67.53, , , 
2019-09-24 08:10:56,75.55,68.14,64.34, , , 
2019-09-24 08:25:56,85.12,79.93,78.28, , , 
2019-09-24 08:40:56,86.98,71.68,76.77, , , 
2019-09-24 08:55:56,84.43,74.33,75.42, , , 
2019-09-24 09:10:56,82.03,78.70,74.81, , , 
2019-09-24 09:25:56,82.96,75.53,74.48, , , 
2019-09-24 09:40:56,83.12,75.47,74.61, , , 
2019-09-24 09:55:56,85.35,70.97,74.92, , , 
2019-09-24 10:10:56,87.67,68.29,75.97, , , 
2019-09-24 10:25:56,89.52,66.60,76.98, , , 
2019-09-24 10:40:56,90.37,64.70,76.91, , , 
2019-09-24 10:55:56,92.07,63.12,77.76, , , 
2019-09-24 11:10:56,92.77,60.14,76.95, , , 
2019-09-24 11:25:56,91.38,63.05,77.08, , , 
2019-09-24 11:40:56,87.29,69.30,76.05, , , 
2019-09-24 11:55:56,85.97,70.58,75.34, , , 
2019-09-24 12:10:56,87.13,68.26,75.44, , , 
2019-09-24 12:25:56,89.06,65.06,75.84, , , 
2019-09-24 12:40:56,93.62,61.49,78.43, , , 
2019-09-24 12:55:56,97.79,53.85,78.27, , , 
2019-09-24 13:10:56,96.47,56.86,78.71, , , 
2019-09-24 13:25:56,99.33,54.73,80.20, , , 
2019-09-24 13:40:56,100.26,51.64,79.27, , , 
