Red.Weight,Purple.Weight
53,71
77,98
95,100
97,79
65,112
54,107
112,70
89,110
100,111
55,86
69,83
96,57
74,98
84,97
52,111
60,78
47,93
65,107
108,92
51,56
49,95
24,90
58,96
69,96
104,86
61,68
43,71
71,68
61,74
45,77
62,58
60,115
52,108
42,72
31,77
80,101
67,53
26,56
54,63
81,76
102,46
51,49
53,52
61,65
26,97
56,124
48,111
58,74
71,88
48,97
32,86
58,88
70,74
79,45
88,56
106,138
106,104
98,81
92,91
84,92
85,117
110,108
87,58
78,51
101,77
107,89
11,102
87,86
103,80
61,85
55,78
70,121
85,77
118,97
77,46
77,89
77,107
103,74
69,132
51,78
72,98
76,81
88,97
68,90
129,113
102,54
71,81
113,109
62,77
60,116
51,97
64,70
47,88
69,68
102,98
103,103
52,96
69,108
35,79
85,73
116,92
63,92
86,67
61,87
79,99
95,97
70,92
66,98
100,66
39,94
67,76
71,92
116,84
110,58
87,73
109,126
70,93
68,91
112,89
75,100
110,84
99,84
78,59
100,79
59,84
84,104
64,105
109,74
101,60
86,90
56,99
87,96
89,107
90,102
63,123
87,85
110,153
54,110
96,60
55,117
96,73
49,58
70,89
106,117
66,128
82,75
100,92
62,74
96,127
78,146
92,108
96,94
46,73
65,90
78,94
85,47
61,40
118,35
78,35
52,31
103,55
112,44
90,92
68,86
65,81
60,60
94,87
100,121
59,84
95,44
78,100
82,79
93,74
100,82
46,107
45,103
93,131
135,119
94,72
79,103
103,109
69,75
52,96
59,147
77,93
63,93
87,79
91,116
64,76
82,112
74,74
73,75
110,81
62,127
43,85
39,100
69,102
74,63
118,81
94,77
67,116
63,106
51,92
66,100
56,80
44,82
33,72
45,113
43,86
73,123
41,79
120,99
101,86
91,64
141,93
108,57
80,98
99,67
74,64
77,64
60,104
101,94
81,76
73,90
120,99
97,48
90,111
106,71
79,77
102,87
132,91
68,79
100,80
110,107
68,99
94,60
70,45
79,71
77,48
98,92
58,27
72,88
82,70
86,67
138,68
112,101
62,82
107,122
106,92
68,96
94,66
71,66
118,50
98,77
84,63
75,56
72,95
90,63
60,50
98,62
97,98
48,53
127,86
62,52
104,96
72,83
135,72
84,71
66,50
88,74
84,80
46,80
