TimesSeries,Air temperature,Humidity(relative),AirPressure,Water content,Soil Electrical Conductivity,Soil Temp,Mock evapotranspiration rate,Insolation(W),Insolation(MJ),Wind speed,Wind direction1,Wind direction2,Evapotranspiration rate
year/month/day/hour/minute,Deg C,%,mbar,m^3/m^3,dS/m,Deg C,mm,W/m^2,MJ/m^2,meters/second,Deg,Deg,mV/mV
2019/08/20 21:05,28.24,82.9,1016.44,0.098,0.049,28.19,0.035,0.016,2.14E-06,3.527,60.96,21.65,12.64
2019/08/20 21:10,28.19,81.7,1016.45,0.098,0.049,28.15,0.039,0.02,1.43E-06,4.009,74.54,19.55,12.64
2019/08/20 21:15,28.2,80.9,1016.49,0.098,0.049,28.11,0.032,0,2.32E-06,2.787,62.38,18.95,12.64
2019/08/20 21:20,28.2,80.4,1016.465,0.097,0.049,28.08,0.031,0.021,1.97E-06,2.401,54.09,31.02,12.64
2019/08/20 21:25,28.27,81.6,1016.526,0.097,0.049,28.03,0.034,0,2.24E-06,2.858,53.23,32.47,12.64
2019/08/20 21:30,28.28,82,1016.588,0.097,0.049,27.99,0.033,0,1.81E-06,2.951,49.31,23.64,12.65
2019/08/20 21:35,28.26,82.9,1016.616,0.097,0.049,27.96,0.033,0,2.09E-06,3.119,64.51,20.22,12.64
2019/08/20 21:40,28.26,82.8,1016.666,0.097,0.049,27.93,0.034,0,1.69E-06,3.236,61.85,19.96,12.64
2019/08/20 21:45,28.3,82.9,1016.674,0.097,0.049,27.92,0.032,0,2.13E-06,3.015,56.94,24.76,12.63
2019/08/20 21:50,28.13,78.39,1016.765,0.097,0.049,27.92,0.04,0,2.97E-06,3.672,65.58,19.86,12.63
2019/08/20 21:55,28.07,75.51,1016.778,0.097,0.049,27.87,0.045,0,2.44E-06,3.255,75.01,25.45,12.62
2019/08/20 22:00,28.05,81.2,1016.809,0.097,0.049,27.82,0.04,0,1.36E-06,3.005,53.28,25.07,12.63
2019/08/20 22:05,27.09,83.4,1016.935,0.097,0.049,27.68,0.037,0,1.73E-06,4.034,36.32,28.12,12.64
2019/08/20 22:10,26.25,88.2,1016.969,0.097,0.049,27.46,0.019,0.009,2.52E-06,2.064,27.88,20.31,12.64
2019/08/20 22:15,25.85,90,1017.033,0.097,0.048,27.3,0.013,0,2.42E-06,1.81,19.41,23.16,12.64
2019/08/20 22:20,25.63,89.4,1017.039,0.097,0.048,27.05,0.013,0,2.82E-06,1.798,7.013,28.24,12.66
2019/08/20 22:25,25.73,89.9,1017.037,0.097,0.048,26.79,0.011,0.005,2.22E-06,1.518,20.27,21.11,12.66
2019/08/20 22:30,25.79,89.9,1017.031,0.097,0.048,26.71,0.009,0.004,1.70E-06,1.108,14.64,12.99,12.65
2019/08/20 22:35,25.93,89.9,1017.042,0.097,0.048,26.65,0.01,0,1.62E-06,1.383,6.616,16.81,12.65
2019/08/20 22:40,26.48,88.2,1017.014,0.097,0.048,26.6,0.014,0.002,1.80E-06,1.993,45.6,42.86,12.66
2019/08/20 22:45,27.1,86.1,1016.948,0.097,0.048,26.59,0.021,0,1.96E-06,2.638,63.52,20.54,12.65
2019/08/20 22:50,27.35,86,1016.914,0.097,0.048,26.62,0.023,0.002,1.96E-06,2.49,66.75,20.05,12.65
2019/08/20 22:55,27.42,86.2,1016.858,0.097,0.048,26.64,0.019,0,2.12E-06,2.023,66.86,17.23,12.65
2019/08/20 23:00,27.44,85.5,1016.817,0.097,0.048,26.67,0.023,0,2.74E-06,2.501,71.76,17.28,12.64
2019/08/20 23:05,27.56,85.6,1016.742,0.097,0.048,26.65,0.025,0,3.24E-06,2.849,69.44,16.53,12.65
2019/08/20 23:10,27.65,82.9,1016.754,0.097,0.048,26.66,0.026,0,2.49E-06,2.633,93.2,20.59,12.65
2019/08/20 23:15,27.76,82.7,1016.721,0.098,0.048,26.62,0.031,0,1.28E-06,2.939,89.7,22.17,12.65
2019/08/20 23:20,27.81,82.4,1016.664,0.098,0.048,26.61,0.033,0.025,2.26E-06,3.16,97.1,22.56,12.65
2019/08/20 23:25,27.88,83.1,1016.563,0.098,0.048,26.59,0.029,0.002,2.79E-06,2.552,90.7,30.15,12.64
2019/08/20 23:30,27.87,82.9,1016.522,0.098,0.048,26.61,0.029,0.009,2.01E-06,2.647,87.2,20.16,12.65
2019/08/20 23:35,27.83,84.1,1016.495,0.098,0.048,26.61,0.023,0,2.22E-06,2.02,91,29.5,12.64
2019/08/20 23:40,27.75,84.6,1016.463,0.098,0.048,26.63,0.021,0,1.63E-06,1.872,81.8,19.99,12.64
2019/08/20 23:45,27.78,85.3,1016.429,0.098,0.048,26.68,0.022,0,1.50E-06,2.078,75.54,21.27,12.65
2019/08/20 23:50,27.61,84.1,1016.339,0.098,0.048,26.67,0.032,0,1.93E-06,3.18,75.06,21.59,12.65
2019/08/20 23:55,27.74,83.7,1016.303,0.098,0.048,26.61,0.022,0.009,3.04E-06,1.984,85.4,22.91,12.65
2019/08/21 0:00,27.79,84.2,1016.298,0.097,0.047,26.63,0.026,0,2.18E-06,2.535,83.7,32.76,12.65
2019/08/21 0:05,27.91,84.4,1016.305,0.097,0.047,26.63,0.023,0,2.06E-06,2.262,77.39,39.77,12.65
2019/08/21 0:10,27.86,82,1016.297,0.097,0.047,26.63,0.025,0,1.72E-06,2.236,73.03,33.26,12.65
2019/08/21 0:15,27.94,80.3,1016.204,0.097,0.047,26.6,0.035,0,1.89E-06,3.075,86.7,31.6,12.65
2019/08/21 0:20,27.9,81.3,1016.166,0.097,0.047,26.58,0.031,0,1.52E-06,2.529,66.13,27.22,12.65
2019/08/21 0:25,27.87,81.7,1016.179,0.097,0.047,26.55,0.032,0,2.34E-06,2.827,80.5,20.09,12.65
2019/08/21 0:30,27.92,83.1,1016.117,0.097,0.047,26.54,0.03,0.02,1.99E-06,2.743,69.61,16.25,12.65
2019/08/21 0:35,27.83,83.8,1016.071,0.097,0.047,26.55,0.031,0.039,2.08E-06,3.195,69.66,15.15,12.65
2019/08/21 0:40,27.81,84.2,1016.03,0.097,0.047,26.55,0.031,0.046,2.51E-06,3.348,71.75,18.65,12.65
2019/08/21 0:45,27.34,83.3,1015.996,0.097,0.047,26.55,0.032,0.014,1.77E-06,3.257,70.46,19.05,12.65
2019/08/21 0:50,27.18,85.9,1015.904,0.097,0.047,26.5,0.025,0,2.80E-06,2.433,72.89,16.99,12.65
2019/08/21 0:55,27.28,86.1,1015.83,0.097,0.047,26.48,0.021,0.014,2.42E-06,2.331,67.77,17.15,12.65
2019/08/21 1:00,27.45,84.6,1015.811,0.097,0.047,26.48,0.018,0,2.28E-06,1.758,70.65,23.03,12.65
2019/08/21 1:05,27.64,83.4,1015.713,0.097,0.047,26.47,0.03,0.013,2.35E-06,3.075,83.4,23.4,12.65
2019/08/21 1:10,27.8,83.3,1015.599,0.097,0.047,26.43,0.033,0.009,2.15E-06,3.343,90.2,23.25,12.64
2019/08/21 1:15,27.8,83.8,1015.628,0.097,0.047,26.42,0.032,0.018,2.64E-06,3.339,83.5,19.89,12.65
2019/08/21 1:20,27.8,82.3,1015.719,0.097,0.047,26.44,0.025,0.002,2.65E-06,2.207,92.9,26.56,12.64
