row_names,TIMESTAMP,RECORD,BattV_Min,PTemp_C_Avg,AirTC_Avg,AirTC_Max,AirTC_TMx,AirTC_Min,AirTC_TMn,RH_Max,RH_TMx,RH_Min,RH_TMn,SlrW_Avg,SlrW_Max,SlrW_TMx,SlrMJ_Tot,Rain_mm_Tot,WS_ms_Avg,WS_ms_Max,WS_ms_TMx,WS_ms_S_WVT,WindDir_D1_WVT,WindDir_SD1_WVT,ETos,Rso,BP_mbar_Avg,BP_mbar_Max,BP_mbar_TMx,BP_mbar_Min,BP_mbar_TMn,VWC_Avg,VWC_Max,VWC_TMx,VWC_Min,VWC_TMn,EC_Avg,EC_Max,EC_TMx,EC_Min,EC_TMn,T_Avg,T_Max,T_TMx,T_Min,T_TMn,SunHrs_Tot,HalfBr_Max,HalfBr_TMx,HalfBr_Min,HalfBr_TMn
1,"2019-05-30 00:00:00",0,12.43,32.16,28.19,30,"2019-05-29 12:41:05",25.41,"2019-05-29 23:59:30",86.8,"2019-05-29 23:55:30",69.62,"2019-05-29 12:15:10",212.5,970,"2019-05-29 10:30:45",11.60545,0.762,3.484,8.08,"2019-05-29 09:18:10",3.484,93.1,19.7,2.157,1.041,1014.725,1016.141,"2019-05-29 10:19:15",1013.505,"2019-05-29 16:39:40",0.045,0.046,"2019-05-29 13:26:20",0.044,"2019-05-29 09:33:00",0.006,0.012,"2019-05-29 08:51:40",0.005,"2019-05-29 13:21:25",30.84,36.79,"2019-05-29 13:26:30",26.54,"2019-05-29 23:59:50",7.34,14.72,"2019-05-29 08:50:00",14.24,"2019-05-29 23:30:10"
2,"2019-05-31 00:00:00",1,12.41,30.74,27.71,30.46,"2019-05-30 11:36:20",25.4,"2019-05-30 00:00:05",91.1,"2019-05-30 00:17:35",66.01,"2019-05-30 12:02:30",161.4,723.6,"2019-05-30 11:31:20",13.94558,0,3.256,8.53,"2019-05-30 09:53:50",3.256,93.7,25.29,2.588,3.212,1014.961,1016.38,"2019-05-30 11:32:30",1013.438,"2019-05-30 04:26:55",0.045,0.046,"2019-05-30 11:25:45",0.044,"2019-05-30 00:09:25",0.005,0.006,"2019-05-30 13:58:15",0.003,"2019-05-30 14:11:00",28.94,35.92,"2019-05-30 11:40:15",26.04,"2019-05-30 05:25:05",10.59,14.42,"2019-05-30 00:26:15",13.83,"2019-05-30 23:05:15"
3,"2019-06-01 00:00:00",2,12.38,27.8,25.62,27.92,"2019-05-31 11:29:45",22.78,"2019-05-31 08:41:00",97.7,"2019-05-31 07:30:15",60.99,"2019-05-31 11:15:55",NULL,NULL,"2019-05-31 07:16:10",NULL,19.56,2.864,9.88,"2019-05-31 07:38:10",2.864,108.3,30.6,NULL,3.232,1015.337,1017.056,"2019-05-31 08:43:40",1013.691,"2019-05-31 04:34:55",0.183,0.367,"2019-05-31 07:36:10",0.044,"2019-05-31 01:27:00",0.061,0.189,"2019-05-31 07:33:00",0.004,"2019-05-31 00:24:00",24.6,27.49,"2019-05-31 12:31:35",22.37,"2019-05-31 08:49:00",10.03,15.72,"2019-05-31 09:09:35",13.83,"2019-05-31 00:35:10"
4,"2019-06-02 00:00:00",3,12.4,29.36,26,28.09,"2019-06-01 15:05:20",23.97,"2019-06-01 09:08:25",90.1,"2019-06-01 23:33:35",68.57,"2019-06-01 15:43:40",NULL,NULL,"2019-06-01 18:43:30",NULL,0,3.263,9.9,"2019-06-01 07:57:25",3.263,81.4,30.92,NULL,3.223,1014.732,1016.266,"2019-06-01 22:27:10",1013.288,"2019-06-01 02:50:50",0.186,0.206,"2019-06-01 00:00:10",0.166,"2019-06-01 23:08:50",0.065,0.071,"2019-06-01 00:00:05",0.057,"2019-06-01 23:55:10",26.04,31.26,"2019-06-01 15:07:45",23.08,"2019-06-01 01:00:20",10.52,15.58,"2019-06-01 04:43:20",14.94,"2019-06-01 22:47:50"
5,"2019-06-03 00:00:00",4,12.4,30.69,27.28,31.42,"2019-06-02 13:51:35",24.12,"2019-06-02 03:55:35",95,"2019-06-02 03:44:25",64.76,"2019-06-02 12:41:35",258.5,1419,"2019-06-02 10:25:05",22.33011,0,2.49,7.899,"2019-06-02 03:21:50",2.49,101.1,46.41,4.231,3.199,1014.474,1016.515,"2019-06-02 22:44:55",1013.202,"2019-06-02 05:37:30",0.156,0.166,"2019-06-02 00:00:05",0.144,"2019-06-02 23:01:30",0.056,0.059,"2019-06-02 12:44:05",0.051,"2019-06-02 23:55:10",28.44,38.18,"2019-06-02 13:41:10",24.03,"2019-06-02 04:04:00",10.51,15.01,"2019-06-02 05:37:40",14.41,"2019-06-02 23:59:35"
6,"2019-06-04 00:00:00",5,12.4,31.53,27.99,31.69,"2019-06-03 11:46:40",24.83,"2019-06-03 02:02:30",94.9,"2019-06-03 02:47:25",64.32,"2019-06-03 14:47:35",296.4,1111,"2019-06-03 12:23:50",25.60822,0,2.309,7.585,"2019-06-03 11:07:05",2.309,97.1,38.17,4.95,3.184,1016.24,1018.003,"2019-06-03 22:37:15",1014.948,"2019-06-03 02:07:30",0.137,0.144,"2019-06-03 00:01:15",0.129,"2019-06-03 22:34:40",0.05,0.054,"2019-06-03 13:16:00",0.046,"2019-06-03 23:56:15",29.68,39.93,"2019-06-03 13:46:10",24.39,"2019-06-03 02:33:35",10.62,14.41,"2019-06-03 00:01:05",13.62,"2019-06-03 23:39:55"
7,"2019-06-05 00:00:00",6,12.39,32.36,28.54,32.2,"2019-06-04 13:38:50",26.82,"2019-06-04 03:27:50",90,"2019-06-04 03:35:55",65.86,"2019-06-04 13:11:25",270.5,1260,"2019-06-04 11:27:00",23.37384,0,3.118,6.762,"2019-06-04 13:32:20",3.118,90.4,18.67,4.407,3.171,1016.78,1018.006,"2019-06-04 09:32:35",1015.566,"2019-06-04 16:21:55",0.123,0.129,"2019-06-04 00:05:25",0.117,"2019-06-04 22:16:15",0.044,0.047,"2019-06-04 00:04:10",0.04,"2019-06-04 23:53:50",30.74,41.76,"2019-06-04 13:09:35",26.09,"2019-06-04 04:52:15",10.58,13.63,"2019-06-04 01:17:40",12.89,"2019-06-04 23:49:30"
8,"2019-06-06 00:00:00",7,12.38,32.62,28.68,32.32,"2019-06-05 12:20:55",26.8,"2019-06-05 05:40:50",90,"2019-06-05 03:25:40",64.67,"2019-06-05 14:12:00",297.6,1277,"2019-06-05 12:55:40",25.71646,0,2.624,7.37,"2019-06-05 09:58:15",2.624,95.7,22.38,4.964,3.173,1016.072,1017.603,"2019-06-05 09:58:15",1014.591,"2019-06-05 15:48:25",0.114,0.117,"2019-06-05 00:03:55",0.11,"2019-06-05 21:59:40",0.041,0.044,"2019-06-05 13:39:20",0.039,"2019-06-05 05:55:40",31.41,41.55,"2019-06-05 13:50:10",26.25,"2019-06-05 05:48:45",10.63,12.9,"2019-06-05 00:16:35",12.09,"2019-06-05 23:46:20"
9,"2019-06-07 00:00:00",8,12.39,32.11,28.52,32.08,"2019-06-06 12:31:30",26.38,"2019-06-06 04:22:50",88.3,"2019-06-06 04:38:15",65.81,"2019-06-06 13:53:20",NULL,NULL,"2019-06-06 18:34:00",NULL,0,2.44,6.88,"2019-06-06 14:30:35",2.44,96.8,23.24,NULL,3.175,1015.043,1016.276,"2019-06-06 09:43:50",1014.052,"2019-06-06 15:42:10",0.161,0.387,"2019-06-06 14:09:20",0.108,"2019-06-06 13:58:45",0.075,0.259,"2019-06-06 14:09:15",0.037,"2019-06-06 07:04:45",30.7,43.11,"2019-06-06 13:09:40",26.08,"2019-06-06 04:56:40",10.58,12.1,"2019-06-06 00:08:10",11.29,"2019-06-06 23:42:35"
10,"2019-06-08 00:00:00",9,12.39,31.96,28.49,31.6,"2019-06-07 12:53:45",26.47,"2019-06-07 05:05:15",88,"2019-06-07 03:30:30",64.6,"2019-06-07 10:53:30",279.6,1212,"2019-06-07 12:22:10",24.15602,0,2.711,7.664,"2019-06-07 20:49:05",2.711,95.9,21.58,4.634,3.173,1015.264,1016.471,"2019-06-07 22:02:40",1014.026,"2019-06-07 03:42:05",0.208,0.233,"2019-06-07 10:25:50",0.189,"2019-06-07 23:37:55",0.096,0.107,"2019-06-07 10:36:55",0.084,"2019-06-07 23:56:10",29.44,37.2,"2019-06-07 13:06:25",25.68,"2019-06-07 05:12:20",10.6,14.62,"2019-06-07 09:55:50",11.21,"2019-06-07 09:48:55"
