Serial Number:20485855 --

"Date Time, GMT -0400","Temp, (*F)","RH, (%)","DewPt, (*F)","Host Connect","Button Down","EOF"
2019-06-11 15:00:00,85.97,66.27,73.46, , , 
2019-06-11 15:15:00,91.22,57.23,74.02, , , 
2019-06-11 15:30:00,93.54,54.04,74.45, , , 
2019-06-11 15:45:00,92.69,54.23,73.77, , , 
2019-06-11 16:00:00,91.45,55.42,73.28, , , 
2019-06-11 16:15:00,90.99,56.67,73.51, , , 
2019-06-11 16:30:00,89.29,57.82,72.53, , , 
2019-06-11 16:45:00,88.75,58.26,72.24, , , 
2019-06-11 17:00:00,87.36,59.93,71.78, , , 
2019-06-11 17:15:00,86.82,61.13,71.86, , , 
2019-06-11 17:30:00,85.20,62.75,71.11, , , 
2019-06-11 17:45:00,84.12,64.85,71.06, , , 
2019-06-11 18:00:00,83.89,64.33,70.60, , , 
2019-06-11 18:15:00,83.12,65.52,70.41, , , 
2019-06-11 18:30:00,82.42,66.91,70.36, , , 
2019-06-11 18:45:00,81.88,68.29,70.45, , , 
2019-06-11 19:00:00,81.49,69.09,70.43, , , 
2019-06-11 19:15:00,81.26,69.51,70.38, , , 
2019-06-11 19:30:00,81.18,69.51,70.31, , , 
2019-06-11 19:45:00,80.64,72.36,70.97, , , 
2019-06-11 20:00:00,80.03,72.89,70.59, , , 
2019-06-11 20:15:00,80.03,74.19,71.11, , , 
2019-06-11 20:30:00,80.41,72.33,70.74, , , 
2019-06-11 20:45:00,80.57,72.48,70.95, , , 
2019-06-11 21:00:00,80.49,72.92,71.05, , , 
2019-06-11 21:15:00,80.49,72.27,70.79, , , 
2019-06-11 21:30:00,80.34,71.03,70.13, , , 
2019-06-11 21:45:00,80.34,72.75,70.83, , , 
2019-06-11 22:00:00,80.18,72.83,70.72, , , 
2019-06-11 22:15:00,80.26,73.22,70.95, , , 
2019-06-11 22:30:00,80.26,73.19,70.94, , , 
2019-06-11 22:45:00,80.18,73.69,71.06, , , 
2019-06-11 23:00:00,79.95,73.19,70.64, , , 
2019-06-11 23:15:00,80.03,73.16,70.70, , , 
2019-06-11 23:30:00,79.87,73.36,70.64, , , 
2019-06-11 23:45:00,79.87,73.72,70.78, , , 
2019-06-12 00:00:00,79.95,72.78,70.47, , , 
2019-06-12 00:15:00,79.87,73.36,70.64, , , 
2019-06-12 00:30:00,79.87,73.25,70.59, , , 
2019-06-12 00:45:00,79.64,71.89,69.82, , , 
2019-06-12 01:00:00,79.49,72.33,69.85, , , 
2019-06-12 01:15:00,79.33,74.25,70.47, , , 
2019-06-12 01:30:00,79.25,74.54,70.51, , , 
2019-06-12 01:45:00,79.18,74.66,70.48, , , 
2019-06-12 02:00:00,79.18,74.60,70.46, , , 
2019-06-12 02:15:00,79.18,74.25,70.32, , , 
2019-06-12 02:30:00,79.33,74.13,70.42, , , 
2019-06-12 02:45:00,79.33,73.66,70.23, , , 
2019-06-12 03:00:00,79.33,69.93,68.71, , , 
