Serial Number:20506768 --

"Date Time, GMT -0400","Temp, (*F)","RH, (%)","DewPt, (*F)","Button Down","Host Connect","EOF"
2019-06-11 15:30:00,88.83,59.06,72.72, , , 
2019-06-11 15:45:00,91.30,54.64,72.71, , , 
2019-06-11 16:00:00,89.68,56.54,72.22, , , 
2019-06-11 16:15:00,84.66,68.44,73.17, , , 
2019-06-11 16:30:00,81.03,72.48,71.39, , , 
2019-06-11 16:45:00,82.03,69.54,71.13, , , 
2019-06-11 17:00:00,82.50,68.74,71.23, , , 
2019-06-11 17:15:00,83.73,66.78,71.56, , , 
2019-06-11 17:30:00,82.34,68.26,70.88, , , 
2019-06-11 17:45:00,81.18,70.58,70.76, , , 
2019-06-11 18:00:00,81.03,70.41,70.54, , , 
2019-06-11 18:15:00,80.34,71.50,70.33, , , 
2019-06-11 18:30:00,79.79,72.21,70.10, , , 
2019-06-11 18:45:00,79.49,73.75,70.42, , , 
2019-06-11 19:00:00,79.18,74.13,70.27, , , 
2019-06-11 19:15:00,78.95,74.57,70.22, , , 
2019-06-11 19:30:00,78.95,74.57,70.22, , , 
2019-06-11 19:45:00,78.71,76.47,70.74, , , 
2019-06-11 20:00:00,78.02,77.71,70.54, , , 
2019-06-11 20:15:00,78.25,78.78,71.17, , , 
2019-06-11 20:30:00,78.79,76.47,70.81, , , 
2019-06-11 20:45:00,79.02,75.91,70.82, , , 
2019-06-11 21:00:00,78.95,76.44,70.95, , , 
2019-06-11 21:15:00,79.02,75.56,70.69, , , 
2019-06-11 21:30:00,78.87,74.48,70.11, , , 
2019-06-11 21:45:00,78.87,76.55,70.92, , , 
2019-06-11 22:00:00,78.79,76.41,70.79, , , 
2019-06-11 22:15:00,78.95,76.49,70.97, , , 
2019-06-11 22:30:00,78.87,76.38,70.85, , , 
2019-06-11 22:45:00,78.79,76.93,70.99, , , 
2019-06-11 23:00:00,78.71,75.94,70.53, , , 
2019-06-11 23:15:00,78.64,76.35,70.62, , , 
2019-06-11 23:30:00,78.56,76.44,70.58, , , 
2019-06-11 23:45:00,78.64,76.87,70.82, , , 
2019-06-12 00:00:00,78.56,75.97,70.40, , , 
2019-06-12 00:15:00,78.56,76.81,70.72, , , 
2019-06-12 00:30:00,78.56,76.38,70.55, , , 
2019-06-12 00:45:00,78.33,75.01,69.80, , , 
2019-06-12 01:00:00,78.25,74.89,69.68, , , 
2019-06-12 01:15:00,78.10,77.22,70.43, , , 
2019-06-12 01:30:00,78.02,77.83,70.58, , , 
2019-06-12 01:45:00,77.94,77.31,70.31, , , 
2019-06-12 02:00:00,78.02,77.19,70.34, , , 
2019-06-12 02:15:00,77.94,76.79,70.11, , , 
2019-06-12 02:30:00,78.17,76.93,70.39, , , 
2019-06-12 02:45:00,78.33,76.44,70.35, , , 
2019-06-12 03:00:00,78.10,72.63,68.63, , , 
2019-06-12 03:15:00,78.17,77.39,70.57, , , 
2019-06-12 03:30:00,78.17,76.41,70.19, , , 
2019-06-12 03:45:00,76.94,80.93,70.68, , , 
2019-06-12 04:00:00,76.86,81.33,70.75, , , 
2019-06-12 04:15:00,77.40,78.70,70.31, , , 
2019-06-12 04:30:00,77.32,77.60,69.82, , , 
2019-06-12 04:45:00,77.32,76.32,69.34, , , 
2019-06-12 05:00:00,77.32,76.79,69.51, , , 
2019-06-12 05:15:00,77.25,77.10,69.56, , , 
2019-06-12 05:30:00,77.48,77.25,69.84, , , 
2019-06-12 05:45:00,77.56,77.22,69.90, , , 
2019-06-12 06:00:00,78.17,77.86,70.74, , , 
2019-06-12 06:15:00,78.79,75.42,70.40, , , 
2019-06-12 06:30:00,80.18,71.86,70.32, , , 
2019-06-12 06:45:00,81.88,69.21,70.85, , , 
2019-06-12 07:00:00,82.65,68.74,71.38, , , 
2019-06-12 07:15:00,83.27,67.00,71.21, , , 
2019-06-12 07:30:00,85.97,60.82,70.91, , , 
2019-06-12 07:45:00,87.52,59.96,71.94, , , 
2019-06-12 08:00:00,89.37,56.29,71.80, , , 
2019-06-12 08:15:00,88.83,55.98,71.14, , , 
2019-06-12 08:30:00,87.90,59.22,71.93, , , 
2019-06-12 08:45:00,89.68,57.82,72.89, , , 
2019-06-12 09:00:00,90.76,56.39,73.15, , , 
2019-06-12 09:15:00,90.68,57.14,73.47, , , 
2019-06-12 09:30:00,91.84,55.98,73.94, , , 
2019-06-12 09:45:00,91.61,55.95,73.70, , , 
2019-06-12 10:00:00,91.30,55.17,73.00, , , 
2019-06-12 10:15:00,93.93,52.24,73.80, , , 
2019-06-12 10:30:00,93.46,53.00,73.80, , , 
2019-06-12 10:45:00,95.08,50.75,74.00, , , 
2019-06-12 11:00:00,95.70,50.85,74.62, , , 
2019-06-12 11:15:00,93.85,52.78,74.03, , , 
2019-06-12 11:30:00,94.62,51.54,74.04, , , 
2019-06-12 11:45:00,95.08,48.65,72.74, , , 
2019-06-12 12:00:00,94.93,51.04,74.02, , , 
2019-06-12 12:15:00,95.93,49.22,73.86, , , 
2019-06-12 12:30:00,95.39,49.76,73.70, , , 
2019-06-12 12:45:00,95.47,50.31,74.09, , , 
2019-06-12 13:00:00,94.16,52.05,73.90, , , 
2019-06-12 13:15:00,95.08,52.11,74.79, , , 
2019-06-12 13:30:00,94.39,52.02,74.10, , , 
2019-06-12 13:45:00,94.85,51.32,74.12, , , 
2019-06-12 14:00:00,94.08,53.31,74.55, , , 
2019-06-12 14:15:00,93.54,52.78,73.75, , , 
2019-06-12 14:30:00,89.68,58.84,73.41, , , 
2019-06-12 14:45:00,88.91,61.31,73.91, , , 
2019-06-12 15:00:00,90.61,58.91,74.31, , , 
2019-06-12 15:15:00,85.59,68.53,74.09, , , 
2019-06-12 15:30:00,82.88,73.63,73.64, , , 
2019-06-12 15:45:00,86.51,66.81,74.21, , , 
2019-06-12 16:00:00,87.83,61.74,73.10, , , 
2019-06-12 16:15:00,88.29,60.02,72.69, , , 
2019-06-12 16:30:00,87.29,61.19,72.32, , , 
2019-06-12 16:45:00,88.52,60.05,72.93, , , 
2019-06-12 17:00:00,87.29,62.69,73.04, , , 
2019-06-12 17:15:00,86.44,63.36,72.56, , , 
2019-06-12 17:30:00,84.97,65.67,72.23, , , 
2019-06-12 17:45:00,83.42,69.39,72.40, , , 
2019-06-12 18:00:00,82.34,72.07,72.48, , , 
2019-06-12 18:15:00,81.57,73.42,72.29, , , 
2019-06-12 18:30:00,81.18,74.86,72.50, , , 
2019-06-12 18:45:00,80.88,74.77,72.17, , , 
2019-06-12 19:00:00,80.34,76.06,72.15, , , 
2019-06-12 19:15:00,80.03,76.15,71.88, , , 
2019-06-12 19:30:00,79.87,78.00,72.45, , , 
2019-06-12 19:45:00,79.79,78.87,72.70, , , 
2019-06-12 20:00:00,79.79,77.39,72.14, , , 
2019-06-12 20:15:00,79.72,77.86,72.24, , , 
2019-06-12 20:30:00,79.79,77.97,72.36, , , 
2019-06-12 20:45:00,78.87,82.08,72.98, , , 
2019-06-12 21:00:00,77.86,84.68,72.93, , , 
2019-06-12 21:15:00,78.10,82.76,72.47, , , 
2019-06-12 21:30:00,78.10,81.53,72.03, , , 
2019-06-12 21:45:00,78.40,81.05,72.16, , , 
2019-06-12 22:00:00,78.79,78.87,71.73, , , 
2019-06-12 22:15:00,78.87,80.25,72.31, , , 
2019-06-12 22:30:00,79.02,80.73,72.64, , , 
2019-06-12 22:45:00,79.18,80.28,72.63, , , 
2019-06-12 23:00:00,79.41,78.93,72.35, , , 
2019-06-12 23:15:00,79.41,78.41,72.15, , , 
2019-06-12 23:30:00,79.25,78.32,71.97, , , 
2019-06-12 23:45:00,79.33,80.13,72.72, , , 
2019-06-13 00:00:00,79.18,80.16,72.58, , , 
2019-06-13 00:15:00,79.25,79.85,72.54, , , 
2019-06-13 00:30:00,79.25,79.21,72.31, , , 
2019-06-13 00:45:00,79.18,79.76,72.43, , , 
2019-06-13 01:00:00,79.25,79.73,72.50, , , 
2019-06-13 01:15:00,79.18,79.65,72.39, , , 
2019-06-13 01:30:00,79.25,78.90,72.19, , , 
2019-06-13 01:45:00,79.18,77.97,71.76, , , 
2019-06-13 02:00:00,79.02,77.94,71.60, , , 
2019-06-13 02:15:00,78.87,78.35,71.60, , , 
2019-06-13 02:30:00,78.95,78.35,71.68, , , 
2019-06-13 02:45:00,79.02,77.94,71.60, , , 
2019-06-13 03:00:00,78.79,78.87,71.73, , , 
2019-06-13 03:15:00,79.02,79.30,72.11, , , 
2019-06-13 03:30:00,78.87,81.62,72.82, , , 
2019-06-13 03:45:00,77.86,81.82,71.91, , , 
2019-06-13 04:00:00,78.33,80.48,71.87, , , 
2019-06-13 04:15:00,78.56,78.72,71.45, , , 
2019-06-13 04:30:00,78.56,79.59,71.77, , , 
2019-06-13 04:45:00,78.64,79.59,71.84, , , 
2019-06-13 05:00:00,78.71,79.24,71.79, , , 
2019-06-13 05:15:00,78.64,78.78,71.54, , , 
2019-06-13 05:30:00,78.79,79.79,72.07, , , 
2019-06-13 05:45:00,79.18,79.19,72.22, , , 
2019-06-13 06:00:00,79.18,76.87,71.34, , , 
2019-06-13 06:15:00,79.49,77.42,71.85, , , 
2019-06-13 06:30:00,80.03,76.03,71.84, , , 
2019-06-13 06:45:00,81.18,73.01,71.76, , , 
2019-06-13 07:00:00,83.58,67.42,71.69, , , 
2019-06-13 07:15:00,83.27,67.96,71.63, , , 
2019-06-13 07:30:00,83.58,69.81,72.72, , , 
2019-06-13 07:45:00,86.51,62.60,72.27, , , 
2019-06-13 08:00:00,88.29,59.49,72.43, , , 
2019-06-13 08:15:00,87.21,62.41,72.84, , , 
2019-06-13 08:30:00,88.21,61.00,73.11, , , 
2019-06-13 08:45:00,89.06,58.53,72.67, , , 
2019-06-13 09:00:00,89.99,57.07,72.79, , , 
2019-06-13 09:15:00,92.46,53.94,73.40, , , 
2019-06-13 09:30:00,92.00,54.70,73.39, , , 
2019-06-13 09:45:00,91.15,55.67,73.12, , , 
2019-06-13 10:00:00,91.15,55.67,73.12, , , 
2019-06-13 10:15:00,92.92,52.68,73.13, , , 
2019-06-13 10:30:00,94.08,51.99,73.80, , , 
2019-06-13 10:45:00,95.70,47.94,72.87, , , 
2019-06-13 11:00:00,92.54,53.19,73.05, , , 
2019-06-13 11:15:00,95.01,50.46,73.76, , , 
2019-06-13 11:30:00,95.62,49.54,73.77, , , 
2019-06-13 11:45:00,95.86,48.74,73.50, , , 
2019-06-13 12:00:00,96.55,48.01,73.68, , , 
2019-06-13 12:15:00,95.93,48.49,73.41, , , 
2019-06-13 12:30:00,95.32,50.56,74.10, , , 
2019-06-13 12:45:00,95.62,51.10,74.70, , , 
2019-06-13 13:00:00,96.09,48.71,73.69, , , 
2019-06-13 13:15:00,96.01,49.48,74.09, , , 
2019-06-13 13:30:00,96.17,48.26,73.49, , , 
2019-06-13 13:45:00,95.39,49.70,73.66, , , 
2019-06-13 14:00:00,95.16,50.46,73.90, , , 
2019-06-13 14:15:00,94.62,51.04,73.74, , , 
2019-06-13 14:30:00,94.54,50.75,73.50, , , 
2019-06-13 14:45:00,93.54,52.24,73.44, , , 
2019-06-13 15:00:00,93.54,51.99,73.30, , , 
2019-06-13 15:15:00,92.15,53.91,73.10, , , 
2019-06-13 15:30:00,92.07,53.91,73.03, , , 
2019-06-13 15:45:00,90.68,56.42,73.09, , , 
2019-06-13 16:00:00,90.06,57.85,73.26, , , 
2019-06-13 16:15:00,91.61,55.42,73.42, , , 
2019-06-13 16:30:00,87.36,61.68,72.63, , , 
2019-06-13 16:45:00,86.98,61.16,72.02, , , 
2019-06-13 17:00:00,86.82,61.13,71.86, , , 
2019-06-13 17:15:00,84.51,64.39,71.21, , , 
2019-06-13 17:30:00,84.12,65.85,71.51, , , 
2019-06-13 17:45:00,83.27,67.75,71.54, , , 
2019-06-13 18:00:00,83.04,69.27,71.98, , , 
2019-06-13 18:15:00,82.34,70.23,71.72, , , 
2019-06-13 18:30:00,80.64,71.39,70.57, , , 
2019-06-13 18:45:00,79.33,74.25,70.47, , , 
2019-06-13 19:00:00,79.49,74.28,70.63, , , 
2019-06-13 19:15:00,79.87,72.86,70.43, , , 
2019-06-13 19:30:00,80.03,72.83,70.57, , , 
2019-06-13 19:45:00,80.10,75.74,71.80, , , 
2019-06-13 20:00:00,80.18,75.15,71.64, , , 
2019-06-13 20:15:00,80.18,71.39,70.13, , , 
2019-06-13 20:30:00,80.10,72.86,70.66, , , 
2019-06-13 20:45:00,80.03,72.83,70.57, , , 
2019-06-13 21:00:00,79.95,72.89,70.52, , , 
2019-06-13 21:15:00,80.03,73.69,70.91, , , 
2019-06-13 21:30:00,80.10,73.86,71.06, , , 
2019-06-13 21:45:00,80.03,71.95,70.21, , , 
2019-06-13 22:00:00,79.95,75.07,71.39, , , 
2019-06-13 22:15:00,79.95,74.60,71.20, , , 
2019-06-13 22:30:00,80.10,75.27,71.62, , , 
2019-06-13 22:45:00,79.95,75.07,71.39, , , 
2019-06-13 23:00:00,79.87,75.71,71.56, , , 
2019-06-13 23:15:00,79.79,75.59,71.44, , , 
2019-06-13 23:30:00,79.79,75.59,71.44, , , 
2019-06-13 23:45:00,79.87,76.17,71.75, , , 
2019-06-14 00:00:00,79.87,76.17,71.75, , , 
