Serial Number:20485855 --

"Date Time, GMT -0400","Temp, (*C)","RH, (%)","DewPt, (*C)","Host Connect","Button Down","EOF"
2019-06-11 15:00:00,29.98,66.27,23.03, , , 
2019-06-11 15:15:00,32.90,57.23,23.34, , , 
2019-06-11 15:30:00,34.19,54.04,23.59, , , 
2019-06-11 15:45:00,33.72,54.23,23.21, , , 
2019-06-11 16:00:00,33.03,55.42,22.93, , , 
2019-06-11 16:15:00,32.77,56.67,23.06, , , 
2019-06-11 16:30:00,31.83,57.82,22.51, , , 
2019-06-11 16:45:00,31.53,58.26,22.36, , , 
2019-06-11 17:00:00,30.76,59.93,22.10, , , 
2019-06-11 17:15:00,30.46,61.13,22.14, , , 
2019-06-11 17:30:00,29.56,62.75,21.73, , , 
2019-06-11 17:45:00,28.95,64.85,21.70, , , 
2019-06-11 18:00:00,28.83,64.33,21.44, , , 
2019-06-11 18:15:00,28.40,65.52,21.34, , , 
2019-06-11 18:30:00,28.01,66.91,21.31, , , 
2019-06-11 18:45:00,27.71,68.29,21.36, , , 
2019-06-11 19:00:00,27.50,69.09,21.35, , , 
2019-06-11 19:15:00,27.37,69.51,21.32, , , 
2019-06-11 19:30:00,27.32,69.51,21.28, , , 
2019-06-11 19:45:00,27.02,72.36,21.65, , , 
2019-06-11 20:00:00,26.68,72.89,21.44, , , 
2019-06-11 20:15:00,26.68,74.19,21.73, , , 
2019-06-11 20:30:00,26.90,72.33,21.52, , , 
2019-06-11 20:45:00,26.98,72.48,21.64, , , 
2019-06-11 21:00:00,26.94,72.92,21.70, , , 
2019-06-11 21:15:00,26.94,72.27,21.55, , , 
2019-06-11 21:30:00,26.85,71.03,21.18, , , 
2019-06-11 21:45:00,26.85,72.75,21.57, , , 
2019-06-11 22:00:00,26.77,72.83,21.51, , , 
2019-06-11 22:15:00,26.81,73.22,21.64, , , 
2019-06-11 22:30:00,26.81,73.19,21.63, , , 
2019-06-11 22:45:00,26.77,73.69,21.70, , , 
2019-06-11 23:00:00,26.64,73.19,21.47, , , 
2019-06-11 23:15:00,26.68,73.16,21.50, , , 
2019-06-11 23:30:00,26.60,73.36,21.46, , , 
2019-06-11 23:45:00,26.60,73.72,21.54, , , 
2019-06-12 00:00:00,26.64,72.78,21.37, , , 
2019-06-12 00:15:00,26.60,73.36,21.46, , , 
2019-06-12 00:30:00,26.60,73.25,21.44, , , 
2019-06-12 00:45:00,26.47,71.89,21.01, , , 
2019-06-12 01:00:00,26.38,72.33,21.03, , , 
2019-06-12 01:15:00,26.30,74.25,21.37, , , 
2019-06-12 01:30:00,26.25,74.54,21.39, , , 
2019-06-12 01:45:00,26.21,74.66,21.38, , , 
2019-06-12 02:00:00,26.21,74.60,21.36, , , 
2019-06-12 02:15:00,26.21,74.25,21.29, , , 
2019-06-12 02:30:00,26.30,74.13,21.34, , , 
2019-06-12 02:45:00,26.30,73.66,21.24, , , 
2019-06-12 03:00:00,26.30,69.93,20.39, , , 
2019-06-12 03:15:00,26.34,74.66,21.50, , , 
2019-06-12 03:30:00,26.30,74.16,21.35, , , 
2019-06-12 03:45:00,26.04,76.90,21.70, , , 
2019-06-12 04:00:00,25.99,76.52,21.57, , , 
2019-06-12 04:15:00,25.99,75.53,21.36, , , 
2019-06-12 04:30:00,25.91,74.54,21.06, , , 
2019-06-12 04:45:00,25.91,73.63,20.86, , , 
2019-06-12 05:00:00,25.87,74.45,21.00, , , 
2019-06-12 05:15:00,25.78,74.51,20.93, , , 
2019-06-12 05:30:00,25.82,74.63,21.00, , , 
2019-06-12 05:45:00,25.95,75.07,21.22, , , 
2019-06-12 06:00:00,26.21,75.47,21.56, , , 
2019-06-12 06:15:00,26.72,72.92,21.49, , , 
2019-06-12 06:30:00,27.32,70.08,21.41, , , 
2019-06-12 06:45:00,28.14,67.69,21.62, , , 
2019-06-12 07:00:00,28.40,68.44,22.05, , , 
2019-06-12 07:15:00,28.65,67.03,21.95, , , 
2019-06-12 07:30:00,29.68,62.99,21.91, , , 
2019-06-12 07:45:00,30.41,61.37,22.17, , , 
2019-06-12 08:00:00,31.23,59.77,22.50, , , 
2019-06-12 08:15:00,31.14,59.00,22.20, , , 
2019-06-12 08:30:00,31.36,59.77,22.62, , , 
2019-06-12 08:45:00,32.77,57.70,23.36, , , 
2019-06-12 09:00:00,33.25,56.48,23.45, , , 
2019-06-12 09:15:00,32.90,57.70,23.48, , , 
2019-06-12 09:30:00,30.80,63.70,23.15, , , 
2019-06-12 09:45:00,29.56,69.45,23.40, , , 
2019-06-12 10:00:00,29.43,66.91,22.66, , , 
2019-06-12 10:15:00,31.31,61.77,23.12, , , 
2019-06-12 10:30:00,32.82,60.51,24.19, , , 
2019-06-12 10:45:00,34.06,56.08,24.08, , , 
2019-06-12 11:00:00,34.96,55.48,24.74, , , 
2019-06-12 11:15:00,34.70,53.85,24.00, , , 
2019-06-12 11:30:00,35.26,52.87,24.21, , , 
2019-06-12 11:45:00,35.43,50.53,23.61, , , 
2019-06-12 12:00:00,35.35,53.66,24.54, , , 
2019-06-12 12:15:00,35.90,50.85,24.15, , , 
2019-06-12 12:30:00,35.82,50.91,24.09, , , 
2019-06-12 12:45:00,35.73,51.86,24.32, , , 
2019-06-12 13:00:00,35.73,51.42,24.18, , , 
2019-06-12 13:15:00,36.08,50.69,24.26, , , 
2019-06-12 13:30:00,35.60,51.61,24.12, , , 
2019-06-12 13:45:00,35.48,52.15,24.18, , , 
2019-06-12 14:00:00,35.00,53.88,24.29, , , 
2019-06-12 14:15:00,34.83,52.84,23.81, , , 
2019-06-12 14:30:00,33.03,56.95,23.38, , , 
2019-06-12 14:45:00,32.34,60.17,23.66, , , 
2019-06-12 15:00:00,32.90,58.72,23.77, , , 
2019-06-12 15:15:00,31.40,65.03,24.06, , , 
2019-06-12 15:30:00,30.28,67.30,23.57, , , 
2019-06-12 15:45:00,31.40,63.54,23.67, , , 
2019-06-12 16:00:00,32.04,59.89,23.30, , , 
2019-06-12 16:15:00,32.52,57.63,23.10, , , 
2019-06-12 16:30:00,31.83,58.81,22.79, , , 
2019-06-12 16:45:00,31.83,59.34,22.94, , , 
2019-06-12 17:00:00,31.36,61.77,23.16, , , 
2019-06-12 17:15:00,30.37,63.60,22.72, , , 
2019-06-12 17:30:00,29.68,65.49,22.55, , , 
2019-06-12 17:45:00,29.13,68.08,22.66, , , 
