Serial Number:20506768 --

"Date Time, GMT -0400","Temp, (*C)","RH, (%)","DewPt, (*C)","Button Down","Host Connect","EOF"
2019-06-11 15:30:00,31.57,59.06,22.62, , , 
2019-06-11 15:45:00,32.94,54.64,22.62, , , 
2019-06-11 16:00:00,32.04,56.54,22.35, , , 
2019-06-11 16:15:00,29.26,68.44,22.87, , , 
2019-06-11 16:30:00,27.24,72.48,21.88, , , 
2019-06-11 16:45:00,27.80,69.54,21.74, , , 
2019-06-11 17:00:00,28.05,68.74,21.80, , , 
2019-06-11 17:15:00,28.74,66.78,21.98, , , 
2019-06-11 17:30:00,27.97,68.26,21.60, , , 
2019-06-11 17:45:00,27.32,70.58,21.53, , , 
2019-06-11 18:00:00,27.24,70.41,21.41, , , 
2019-06-11 18:15:00,26.85,71.50,21.29, , , 
2019-06-11 18:30:00,26.55,72.21,21.16, , , 
2019-06-11 18:45:00,26.38,73.75,21.34, , , 
2019-06-11 19:00:00,26.21,74.13,21.26, , , 
2019-06-11 19:15:00,26.08,74.57,21.23, , , 
2019-06-11 19:30:00,26.08,74.57,21.23, , , 
2019-06-11 19:45:00,25.95,76.47,21.52, , , 
2019-06-11 20:00:00,25.57,77.71,21.41, , , 
2019-06-11 20:15:00,25.69,78.78,21.76, , , 
2019-06-11 20:30:00,25.99,76.47,21.56, , , 
2019-06-11 20:45:00,26.12,75.91,21.57, , , 
2019-06-11 21:00:00,26.08,76.44,21.64, , , 
2019-06-11 21:15:00,26.12,75.56,21.49, , , 
2019-06-11 21:30:00,26.04,74.48,21.17, , , 
2019-06-11 21:45:00,26.04,76.55,21.62, , , 
2019-06-11 22:00:00,25.99,76.41,21.55, , , 
2019-06-11 22:15:00,26.08,76.49,21.65, , , 
2019-06-11 22:30:00,26.04,76.38,21.58, , , 
2019-06-11 22:45:00,25.99,76.93,21.66, , , 
2019-06-11 23:00:00,25.95,75.94,21.41, , , 
2019-06-11 23:15:00,25.91,76.35,21.45, , , 
2019-06-11 23:30:00,25.87,76.44,21.43, , , 
2019-06-11 23:45:00,25.91,76.87,21.57, , , 
2019-06-12 00:00:00,25.87,75.97,21.33, , , 
2019-06-12 00:15:00,25.87,76.81,21.51, , , 
2019-06-12 00:30:00,25.87,76.38,21.42, , , 
