"TOA5","La Guerite","CR300","13940","CR300-CELL200.Std.08.01","CPU:La Guerite.CR300","13677","Daily"
"TIMESTAMP","RECORD","BattV_Min","PTemp_C_Max","AirTC_Max","AirTC_TMx","AirTC_Avg","AirTC_Min","AirTC_TMn","AirTC_Std","RH_Max","RH_TMx","RH_Min","RH_TMn","SlrkW_Max","SlrkW_TMx","SlrMJ_Tot","Rain_mm_Tot","VWC_Max","VWC_TMx","VWC_Avg","VWC_Min","VWC_TMn","EC_Max","EC_TMx","EC_Avg","EC_Min","EC_TMn","T_Max","T_TMx","T_Avg","T_Min","T_TMn"
"TS","RN","Volts","Deg C","Deg C","","Deg C","Deg C","","Deg C","%","","%","","kW/m^2","","MJ/m^2","mm","m^3/m^3","","m^3/m^3","m^3/m^3","","dS/m","","dS/m","dS/m","","Deg C","","Deg C","Deg C",""
"","","Min","Max","Max","TMx","Avg","Min","TMn","Std","Max","TMx","Min","TMn","Max","TMx","Tot","Tot","Max","TMx","Avg","Min","TMn","Max","TMx","Avg","Min","TMn","Max","TMx","Avg","Min","TMn"
"2020-01-30 00:00:00",0,11.98,32.39,28.36,"2020-01-29 16:48:40",24.37,23.01,"2020-01-29 23:23:30",1.445,90.9,"2020-01-29 23:59:30",67.41,"2020-01-29 17:10:50",1.501,"2020-01-29 16:50:50",1.711848,0,"NAN","2020-01-30 00:00:00","NAN","NAN","2020-01-30 00:00:00","NAN","2020-01-30 00:00:00","NAN","NAN","2020-01-30 00:00:00","NAN","2020-01-30 00:00:00","NAN","NAN","2020-01-30 00:00:00"
"2020-01-31 00:00:00",1,11.9,37.38,"NAN","2020-01-30 16:01:40","NAN","NAN","2020-01-30 16:01:40","NAN","NAN","2020-01-30 16:01:40","NAN","2020-01-30 16:01:40",1.003,"2020-01-30 13:25:10",20.70898,1.016,"NAN","2020-01-30 16:02:00","NAN","NAN","2020-01-30 16:02:00","NAN","2020-01-30 16:02:00","NAN","NAN","2020-01-30 16:02:00","NAN","2020-01-30 16:02:00","NAN","NAN","2020-01-30 16:02:00"
"2020-02-01 00:00:00",2,11.73,40.3,31.11,"2020-01-31 16:18:00",26.64,24.51,"2020-01-31 23:59:40",2.272,82.5,"2020-01-31 18:54:00",54.61,"2020-01-31 16:14:30",0.827,"2020-01-31 14:11:00",5.70105,0,0.266,"2020-01-31 14:01:30",0.261,0.26,"2020-01-31 22:26:30",0.096,"2020-01-31 17:18:50",0.094,0.092,"2020-01-31 22:48:30",34.33,"2020-01-31 14:01:30",27.18,24.23,"2020-01-31 23:59:40"
"2020-02-02 00:00:00",3,12.21,40.58,30.52,"2020-02-01 13:09:20",26.2,23.15,"2020-02-01 06:34:20",2.364,86,"2020-02-01 06:14:00",59.23,"2020-02-01 14:59:30",1.117,"2020-02-01 12:51:40",20.9327,0,0.261,"2020-02-01 01:11:40",0.257,0.253,"2020-02-01 23:13:40",0.095,"2020-02-01 17:54:10",0.093,0.09,"2020-02-01 07:44:50",34.86,"2020-02-01 13:44:50",26.54,22.42,"2020-02-01 06:36:00"
"2020-02-03 00:00:00",4,12.46,41.7,30.35,"2020-02-02 13:14:10",26.02,22.62,"2020-02-02 05:17:20",2.318,90.6,"2020-02-02 05:22:40",58.22,"2020-02-02 13:37:10",1.019,"2020-02-02 10:46:40",19.85,0,0.254,"2020-02-02 12:15:40",0.252,0.25,"2020-02-02 23:57:50",0.098,"2020-02-02 17:15:10",0.094,0.09,"2020-02-02 07:09:50",36.65,"2020-02-02 13:03:30",27.22,22.67,"2020-02-02 05:20:10"
"2020-02-04 00:00:00",5,12.47,41.15,31.11,"2020-02-03 13:45:20",26.28,22.65,"2020-02-03 06:51:20",2.564,91.6,"2020-02-03 01:48:20",52.76,"2020-02-03 13:47:50",1.093,"2020-02-03 13:06:30",19.6216,0,0.255,"2020-02-03 11:14:00",0.25,0.245,"2020-02-03 22:04:20",0.103,"2020-02-03 16:10:30",0.098,0.093,"2020-02-03 06:46:40",35.14,"2020-02-03 12:22:30",26.98,22.51,"2020-02-03 06:56:30"
"2020-02-05 00:00:00",6,12.51,39.79,30.73,"2020-02-04 14:19:50",26.36,23.66,"2020-02-04 03:45:20",1.888,83.2,"2020-02-04 03:53:00",54.76,"2020-02-04 14:49:50",1.215,"2020-02-04 12:17:00",18.41539,0,0.25,"2020-02-04 02:15:40",0.245,0.241,"2020-02-04 22:09:10",0.103,"2020-02-04 18:16:50",0.099,0.096,"2020-02-04 07:04:50",35.41,"2020-02-04 14:27:00",27.29,23.49,"2020-02-04 03:46:40"
"2020-02-06 00:00:00",7,12.54,40.25,30.62,"2020-02-05 12:09:00",26.03,22.88,"2020-02-05 20:58:10",1.992,95.1,"2020-02-05 18:00:10",58.77,"2020-02-05 13:43:20","NAN","2020-02-05 17:52:30","NAN",7.62,0.338,"2020-02-05 20:58:50",0.252,0.242,"2020-02-05 00:00:50",0.171,"2020-02-05 20:57:50",0.108,0.099,"2020-02-05 00:11:50",36.43,"2020-02-05 12:25:00",26.88,23.06,"2020-02-05 23:10:30"
