"TOA5","La Guerite","CR300","13940","CR300-CELL200.Std.08.01","CPU:La Guerite.CR300","13677","Hourly"
"TIMESTAMP","RECORD","AirTC_Avg","RH","SlrkW_Avg","SlrMJ_Tot","Rain_mm_Tot","VWC_Avg","EC_Avg","T_Avg"
"TS","RN","Deg C","%","kW/m^2","MJ/m^2","mm","m^3/m^3","dS/m","Deg C"
"","","Avg","Smp","Avg","Tot","Tot","Avg","Avg","Avg"
"2020-01-29 12:00:00",0,"NAN","NAN",1.287,0.5018276,0,"NAN","NAN","NAN"
"2020-01-29 13:00:00",1,"NAN","NAN",1.296,4.666825,0,"NAN","NAN","NAN"
"2020-01-29 17:00:00",2,28.07,69.67,1.367,1.175605,0,"NAN","NAN","NAN"
"2020-01-29 18:00:00",3,26.85,77.95,0.148,0.5319787,0,"NAN","NAN","NAN"
"2020-01-29 19:00:00",4,25.2,83.7,0.001,0.004048801,0,"NAN","NAN","NAN"
"2020-01-29 20:00:00",5,24.11,86,0,4.351973E-05,0,"NAN","NAN","NAN"
"2020-01-29 21:00:00",6,23.76,87.5,0,3.978284E-05,0,"NAN","NAN","NAN"
"2020-01-29 22:00:00",7,23.49,86.2,0,4.428856E-05,0,"NAN","NAN","NAN"
"2020-01-29 23:00:00",8,23.22,89.2,0,4.672024E-05,0,"NAN","NAN","NAN"
"2020-01-30 00:00:00",9,23.09,90.9,0,4.893735E-05,0,"NAN","NAN","NAN"
"2020-01-30 01:00:00",10,22.97,90.8,0,4.280453E-05,0,"NAN","NAN","NAN"
"2020-01-30 02:00:00",11,23.1,90.7,0,4.396674E-05,0,"NAN","NAN","NAN"
"2020-01-30 03:00:00",12,22.83,90.6,0,4.334093E-05,0,"NAN","NAN","NAN"
"2020-01-30 04:00:00",13,22.8,90.9,0,4.741755E-05,0,"NAN","NAN","NAN"
"2020-01-30 05:00:00",14,23.04,90.5,0,4.893735E-05,0,"NAN","NAN","NAN"
"2020-01-30 06:00:00",15,23.28,89.6,0,4.945587E-05,0,"NAN","NAN","NAN"
"2020-01-30 07:00:00",16,23.1,88.6,0.007,0.02444727,0,"NAN","NAN","NAN"
"2020-01-30 08:00:00",17,26.04,74.81,0.111,0.4000887,0,"NAN","NAN","NAN"
"2020-01-30 09:00:00",18,28.47,65.24,0.361,1.299813,0,"NAN","NAN","NAN"
"2020-01-30 10:00:00",19,28.69,70.49,0.391,1.409395,0,"NAN","NAN","NAN"
"2020-01-30 11:00:00",20,29.09,60.28,0.687,2.473458,0,"NAN","NAN","NAN"
"2020-01-30 12:00:00",21,29.92,65.9,0.835,3.004409,0,"NAN","NAN","NAN"
"2020-01-30 13:00:00",22,30.03,67.11,0.865,3.11499,0,"NAN","NAN","NAN"
"2020-01-30 14:00:00",23,29.26,66.63,0.852,3.065926,0,"NAN","NAN","NAN"
"2020-01-30 15:00:00",24,29.04,69.21,0.714,2.568824,0,"NAN","NAN","NAN"
"2020-01-30 16:00:00",25,29.11,69.88,0.549,1.977708,1.016,"NAN","NAN","NAN"
"2020-01-30 17:00:00",26,"NAN",66.7,0.316,1.136487,0,"NAN","NAN","NAN"
"2020-01-30 18:00:00",27,27.38,76.13,0.063,0.2283455,0,0.267,0.092,27.52
"2020-01-30 19:00:00",28,25.45,84.7,0.001,0.004864557,0,0.268,0.092,25.73
"2020-01-30 20:00:00",29,24.93,84.9,0,3.849545E-05,0,0.269,0.093,25.12
"2020-01-30 21:00:00",30,25.19,87.3,0,3.272025E-05,0,0.269,0.093,25.17
"2020-01-30 22:00:00",31,24.45,86.6,0,3.472281E-05,0,0.268,0.092,24.72
"2020-01-30 23:00:00",32,24.77,85.6,0,3.316725E-05,0,0.268,0.092,24.69
"2020-01-31 00:00:00",33,24.83,87.6,0,3.958616E-05,0,0.268,0.092,24.62
"2020-01-31 01:00:00",34,23.95,91.6,0,4.466406E-05,0,0.268,0.092,24.2
"2020-01-31 02:00:00",35,23.57,92,0,4.968831E-05,0,0.268,0.092,23.83
"2020-01-31 03:00:00",36,23.47,92.4,0,4.754272E-05,0,0.267,0.092,23.74
"2020-01-31 04:00:00",37,23.15,92.7,0,4.734604E-05,0,0.267,0.091,23.39
"2020-01-31 05:00:00",38,23.15,92.5,0,4.702421E-05,0,0.267,0.091,23.31
"2020-01-31 06:00:00",39,23.2,91.3,0,3.279178E-05,0,0.267,0.091,23.29
"2020-01-31 07:00:00",40,23.1,89.6,0.006,0.02336476,0,0.268,0.091,23.05
"2020-01-31 08:00:00",41,24.99,76.05,0.115,0.4139386,0,0.267,0.091,23.59
"2020-01-31 09:00:00",42,27.75,74.59,0.369,1.328701,0,0.267,0.091,26.38
"2020-01-31 10:00:00",43,28.58,67.14,0.625,2.25174,0,0.266,0.091,29.75
"2020-01-31 11:00:00",44,28.73,68.83,0.677,2.437707,0,0.267,0.093,32.49
"2020-01-31 12:00:00",45,29.25,63.27,0.789,2.84072,0,0.267,0.093,32.95
"2020-01-31 13:00:00",46,29.35,62.96,0.845,3.041229,0,0.267,0.094,34.21
"2020-01-31 14:00:00",47,30.18,62.33,0.773,0.1004558,0,0.266,0.095,34.57
"2020-01-31 15:00:00",48,29.66,62.97,0.695,2.445499,0,0.264,0.095,33.48
"2020-01-31 16:00:00",49,29.88,62.38,0.531,1.912158,0,0.261,0.095,32.79
"2020-01-31 17:00:00",50,30.13,64.99,0.308,1.110217,0,0.261,0.095,30.07
"2020-01-31 18:00:00",51,27.18,77.39,0.063,0.2284221,0,0.262,0.095,27.09
"2020-01-31 19:00:00",52,25.18,80.9,0.001,0.00465643,0,0.262,0.095,25.4
"2020-01-31 20:00:00",53,24.87,81.6,0,3.168322E-05,0,0.262,0.094,24.79
"2020-01-31 21:00:00",54,24.78,80.2,0,3.35606E-05,0,0.261,0.094,24.49
"2020-01-31 22:00:00",55,24.88,81.4,0,3.209446E-05,0,0.261,0.094,24.54
"2020-01-31 23:00:00",56,25.09,80.9,0,3.09859E-05,0,0.261,0.093,24.78
"2020-02-01 00:00:00",57,24.86,80.6,0,3.236266E-05,0,0.26,0.093,24.55
"2020-02-01 01:00:00",58,24.24,81.2,0,2.517493E-05,0,0.26,0.093,23.83
"2020-02-01 02:00:00",59,24.12,81,0,3.028857E-05,0,0.26,0.093,23.49
"2020-02-01 03:00:00",60,24.02,81.5,0,3.490161E-05,0,0.26,0.092,23.31
"2020-02-01 04:00:00",61,23.8,78.33,0,3.186202E-05,0,0.26,0.092,23.01
"2020-02-01 05:00:00",62,23.59,83.7,0,3.629623E-05,0,0.259,0.092,22.77
"2020-02-01 06:00:00",63,23.44,85.1,0,3.724388E-05,0,0.259,0.091,22.74
"2020-02-01 07:00:00",64,23.39,80.3,0.007,0.02504149,0,0.259,0.091,22.53
"2020-02-01 08:00:00",65,25.82,70.34,0.148,0.531078,0,0.259,0.091,23.55
"2020-02-01 09:00:00",66,27.7,66.54,0.356,1.279872,0,0.258,0.091,25.91
"2020-02-01 10:00:00",67,28.4,62.18,0.563,2.02712,0,0.258,0.091,28.67
"2020-02-01 11:00:00",68,29.2,61.43,0.758,2.728975,0,0.258,0.092,31.87
"2020-02-01 12:00:00",69,29.35,64.2,0.771,2.774783,0,0.257,0.093,32.44
"2020-02-01 13:00:00",70,29.67,63.97,0.846,3.044449,0,0.257,0.093,33.18
"2020-02-01 14:00:00",71,29.6,63.52,0.836,3.008972,0,0.257,0.094,34.3
"2020-02-01 15:00:00",72,29.35,61.53,0.642,2.310632,0,0.257,0.094,32.77
"2020-02-01 16:00:00",73,29.3,62.38,0.514,1.851321,0,0.256,0.095,31.06
"2020-02-01 17:00:00",74,28.87,68.38,0.31,1.114429,0,0.255,0.095,29.5
"2020-02-01 18:00:00",75,26.67,73.11,0.064,0.2307368,0,0.255,0.094,26.64
"2020-02-01 19:00:00",76,25.22,74.26,0.001,0.00513152,0,0.255,0.094,24.97
"2020-02-01 20:00:00",77,24.33,82.9,0,3.066407E-05,0,0.254,0.094,24.14
"2020-02-01 21:00:00",78,24.29,77.36,0,3.100378E-05,0,0.254,0.093,23.93
"2020-02-01 22:00:00",79,24.6,78.45,0,3.195142E-05,0,0.254,0.093,23.89
"2020-02-01 23:00:00",80,25.02,78.15,0,2.805361E-05,0,0.254,0.093,24.3
"2020-02-02 00:00:00",81,24.89,82.2,0,3.255935E-05,0,0.253,0.092,24.27
"2020-02-02 01:00:00",82,25,82,0,3.007402E-05,0,0.253,0.092,24.51
"2020-02-02 02:00:00",83,24.78,82.9,0,2.985948E-05,0,0.253,0.092,24.34
"2020-02-02 03:00:00",84,24.66,81.1,0,2.969855E-05,0,0.253,0.092,24.17
"2020-02-02 04:00:00",85,24.13,87.8,0,2.901912E-05,0,0.252,0.092,23.58
"2020-02-02 05:00:00",86,23.09,89.5,0,3.845972E-05,0,0.252,0.092,23.18
"2020-02-02 06:00:00",87,22.81,87.7,0,3.402549E-05,0,0.252,0.091,22.81
"2020-02-02 07:00:00",88,23.13,86.8,0.005,0.0177106,0,0.252,0.091,22.94
"2020-02-02 08:00:00",89,25.39,73.12,0.117,0.4210762,0,0.252,0.091,23.6
"2020-02-02 09:00:00",90,26.58,72.41,0.234,0.8423537,0,0.252,0.091,25.8
"2020-02-02 10:00:00",91,27.24,67.69,0.358,1.28706,0,0.252,0.092,27.71
"2020-02-02 11:00:00",92,28.39,65.74,0.593,2.136048,0,0.253,0.093,30.85
"2020-02-02 12:00:00",93,29.31,64.71,0.811,2.917844,0,0.254,0.094,33.87
"2020-02-02 13:00:00",94,29.54,65.89,0.889,3.199827,0,0.254,0.095,35.61
"2020-02-02 14:00:00",95,29.72,62.8,0.825,2.969578,0,0.254,0.096,36.06
"2020-02-02 15:00:00",96,29.33,65.78,0.724,2.604908,0,0.253,0.097,34.85
"2020-02-02 16:00:00",97,28.88,66.91,0.537,1.933204,0,0.253,0.097,32.2
"2020-02-02 17:00:00",98,28.71,68.52,0.356,1.282478,0,0.252,0.097,30.9
"2020-02-02 18:00:00",99,27.21,75.96,0.065,0.2328734,0,0.251,0.097,28.16
"2020-02-02 19:00:00",100,25.6,82.3,0.001,0.004869702,0,0.251,0.097,26.06
"2020-02-02 20:00:00",101,24.5,84.8,0,3.250572E-05,0,0.251,0.096,24.9
"2020-02-02 21:00:00",102,24.52,84.6,0,2.887607E-05,0,0.251,0.096,24.64
"2020-02-02 22:00:00",103,24.23,88.1,0,3.261298E-05,0,0.251,0.096,24.52
"2020-02-02 23:00:00",104,23.78,87.7,0,2.925155E-05,0,0.251,0.096,23.97
"2020-02-03 00:00:00",105,23.85,88.3,0,3.484797E-05,0,0.251,0.095,23.99
"2020-02-03 01:00:00",106,23.61,89.9,0,3.681477E-05,0,0.25,0.095,23.76
"2020-02-03 02:00:00",107,23.59,91.1,0,3.488373E-05,0,0.25,0.095,23.73
"2020-02-03 03:00:00",108,23.97,87.6,0,3.406125E-05,0,0.25,0.095,23.98
"2020-02-03 04:00:00",109,24.05,88.6,0,3.733328E-05,0,0.25,0.095,23.86
"2020-02-03 05:00:00",110,23.84,87.4,0,3.726177E-05,0,0.25,0.095,23.65
"2020-02-03 06:00:00",111,22.94,88.7,0,3.425793E-05,0,0.249,0.094,23.05
"2020-02-03 07:00:00",112,22.77,87.8,0.005,0.01949582,0,0.249,0.094,22.66
"2020-02-03 08:00:00",113,25.37,74.41,0.128,0.4625102,0,0.249,0.094,23.35
"2020-02-03 09:00:00",114,28.1,65.02,0.345,1.24034,0,0.249,0.094,25.85
"2020-02-03 10:00:00",115,28.27,66.79,0.446,1.604396,0,0.25,0.095,28.52
"2020-02-03 11:00:00",116,28.93,63.02,0.703,2.531662,0,0.252,0.097,31.89
"2020-02-03 12:00:00",117,29.2,65.76,0.762,2.743715,0,0.254,0.101,33.51
"2020-02-03 13:00:00",118,29.58,66.96,0.771,2.776158,0,0.253,0.102,34.6
"2020-02-03 14:00:00",119,30.04,57.72,0.78,2.808782,0,0.252,0.102,33.81
"2020-02-03 15:00:00",120,29.87,61.95,0.612,2.202302,0,0.252,0.102,32.72
"2020-02-03 16:00:00",121,29.95,61.66,0.521,1.877026,0,0.252,0.102,31.94
"2020-02-03 17:00:00",122,29.69,63.98,0.305,1.098377,0,0.25,0.102,30.28
"2020-02-03 18:00:00",123,27.33,74.9,0.069,0.2492252,0,0.249,0.101,27.51
"2020-02-03 19:00:00",124,25.38,81.1,0.002,0.007426182,0,0.248,0.1,25.78
"2020-02-03 20:00:00",125,24.87,80.5,0,3.556316E-05,0,0.247,0.1,25.06
"2020-02-03 21:00:00",126,24.93,78.29,0,3.445462E-05,0,0.247,0.099,24.73
"2020-02-03 22:00:00",127,24.68,78.63,0,3.127197E-05,0,0.246,0.098,24.35
"2020-02-03 23:00:00",128,24.76,80.7,0,2.909063E-05,0,0.246,0.098,24.37
"2020-02-04 00:00:00",129,24.9,80.5,0,3.003827E-05,0,0.246,0.098,24.48
"2020-02-04 01:00:00",130,24.55,79.24,0,3.018131E-05,0,0.248,0.099,24.25
"2020-02-04 02:00:00",131,24.39,80.6,0,3.145079E-05,0,0.249,0.099,23.87
"2020-02-04 03:00:00",132,24.41,79.96,0,3.259511E-05,0,0.249,0.099,23.8
"2020-02-04 04:00:00",133,23.96,82.7,0,3.520557E-05,0,0.249,0.099,23.66
"2020-02-04 05:00:00",134,24.21,81.7,0,3.046739E-05,0,0.248,0.099,23.75
"2020-02-04 06:00:00",135,24.18,80.7,0,3.826304E-05,0,0.248,0.098,23.66
"2020-02-04 07:00:00",136,24.5,78.75,0.008,0.02827472,0,0.248,0.098,23.73
"2020-02-04 08:00:00",137,25.71,70.56,0.147,0.5301288,0,0.248,0.098,24.61
"2020-02-04 09:00:00",138,26.83,66.96,0.329,1.185707,0,0.248,0.098,25.95
"2020-02-04 10:00:00",139,28.07,67.68,0.549,1.978023,0,0.247,0.098,28.99
"2020-02-04 11:00:00",140,28.25,66.33,0.599,2.157484,0,0.246,0.098,31.25
"2020-02-04 12:00:00",141,28.99,65.63,0.723,2.603566,0,0.245,0.098,33.19
"2020-02-04 13:00:00",142,28.19,66.94,0.557,2.005224,0,0.245,0.099,32.32
"2020-02-04 14:00:00",143,29.33,59.97,0.68,2.446693,0,0.244,0.099,33.56
"2020-02-04 15:00:00",144,29.58,58.58,0.714,2.570026,0,0.243,0.1,34.69
"2020-02-04 16:00:00",145,29.06,63.04,0.451,1.623384,0,0.243,0.1,33.22
"2020-02-04 17:00:00",146,28.65,70.28,0.295,1.061999,0,0.243,0.101,31.04
"2020-02-04 18:00:00",147,26.64,75.22,0.061,0.2191338,0,0.243,0.102,27.99
"2020-02-04 19:00:00",148,25.74,77.65,0.002,0.005557957,0,0.243,0.102,25.98
"2020-02-04 20:00:00",149,25.58,76.96,0,3.744056E-05,0,0.244,0.101,25.33
"2020-02-04 21:00:00",150,25.68,78.3,0,3.409701E-05,0,0.243,0.101,25.3
"2020-02-04 22:00:00",151,25.44,80.2,0,3.484798E-05,0,0.243,0.101,25.08
"2020-02-04 23:00:00",152,25.45,78.56,0,3.368578E-05,0,0.242,0.1,24.98
"2020-02-05 00:00:00",153,25.36,76.53,0,3.26845E-05,0,0.242,0.1,24.82
"2020-02-05 01:00:00",154,25.35,77.62,0,3.305998E-05,0,0.243,0.1,24.72
"2020-02-05 02:00:00",155,25.14,79.42,0,3.497312E-05,0,0.243,0.1,24.58
"2020-02-05 03:00:00",156,24.95,77.58,0,3.195141E-05,0,0.243,0.101,24.32
"2020-02-05 04:00:00",157,24.9,80.2,0,3.168322E-05,0,0.244,0.101,24.22
"2020-02-05 05:00:00",158,24.95,79.53,0,2.685564E-05,0,0.244,0.101,24.19
"2020-02-05 06:00:00",159,24.57,83.6,0,2.656956E-05,0,0.244,0.101,24.13
"2020-02-05 07:00:00",160,24.85,81.5,0.007,0.02676532,0,0.246,0.101,24.11
"2020-02-05 08:00:00",161,26.2,74.98,0.127,0.4571869,0,0.246,0.101,25.11
"2020-02-05 09:00:00",162,27.29,67.84,0.315,1.134239,0,0.246,0.101,26.95
"2020-02-05 10:00:00",163,28.3,68.52,0.516,1.857325,0,0.246,0.101,29.73
"2020-02-05 11:00:00",164,29.2,64.93,0.677,2.438933,0,0.245,0.101,33.12
"2020-02-05 12:00:00",165,29.33,63.22,0.779,2.806181,0,0.245,0.102,34.18
"2020-02-05 13:00:00",166,29.77,67.29,0.794,2.859314,0,0.245,0.103,35.81
"2020-02-05 14:00:00",167,28.31,84.6,0.58,2.089313,0,0.245,0.103,34.25
"2020-02-05 15:00:00",168,27.63,68.67,0.512,1.842931,0.254,0.245,0.104,29.36
"2020-02-05 16:00:00",169,28.21,68.75,0.355,1.279136,0,0.245,0.105,30.22
"2020-02-05 17:00:00",170,25.82,87.1,0.15,0.5407956,0.508,0.246,0.106,27.63
"2020-02-05 18:00:00",171,24.12,94.9,"NAN","NAN",0.762,0.245,0.105,25.27
"2020-02-05 19:00:00",172,24.35,92.8,0.001,0.003010157,0,0.244,0.104,24.65
"2020-02-05 20:00:00",173,24.61,88.1,0,3.49016E-05,0,0.243,0.104,24.31
"2020-02-05 21:00:00",174,24.51,93.4,0,3.128986E-05,5.842,0.259,0.115,24.24
"2020-02-05 22:00:00",175,23.55,88.6,0,3.552742E-05,0.254,0.315,0.153,23.41
"2020-02-05 23:00:00",176,24.22,82.9,0,3.686841E-05,0,0.296,0.14,23.27
"2020-02-06 00:00:00",177,24.57,82.8,0,3.175475E-05,0,0.288,0.134,23.21
"2020-02-06 01:00:00",178,24.83,84.3,0,3.592076E-05,0,0.284,0.13,23.35
"2020-02-06 02:00:00",179,24.75,82.2,0,3.427582E-05,0,0.281,0.127,23.42
"2020-02-06 03:00:00",180,24.39,85.1,0,2.80536E-05,0.254,0.279,0.126,23.37
"2020-02-06 04:00:00",181,24.7,83.8,0,2.76066E-05,0,0.279,0.126,23.29
"2020-02-06 05:00:00",182,24.87,82.8,0,3.036011E-05,0,0.279,0.127,23.37
"2020-02-06 06:00:00",183,24.65,81.5,0,3.078922E-05,0,0.278,0.126,23.36
"2020-02-06 07:00:00",184,25.08,80.9,0.006,0.02012881,0,0.278,0.125,23.52
"2020-02-06 08:00:00",185,25.69,78.08,0.097,0.3474501,0,0.276,0.123,24.19
"2020-02-06 09:00:00",186,26.38,72.04,0.225,0.8092291,0,0.276,0.122,25.18
"2020-02-06 10:00:00",187,27.19,68.91,0.385,1.384427,0,0.274,0.121,26.55
"2020-02-06 11:00:00",188,28.53,64.2,0.734,2.641995,0,0.274,0.122,30.29
"2020-02-06 12:00:00",189,28.93,65.94,0.669,2.408226,0,0.273,0.122,31.29
"2020-02-06 13:00:00",190,29.08,69.71,0.66,2.376502,0,0.272,0.123,32.11
"2020-02-06 14:00:00",191,27,67.83,0.476,1.713323,0.254,0.271,0.123,28.83
"2020-02-06 15:00:00",192,28.58,63.8,0.602,2.168085,0,0.271,0.123,31.54
"2020-02-06 16:00:00",193,28.72,57.7,0.533,1.919217,0,0.271,0.123,32.07
"2020-02-06 17:00:00",194,28.44,65.24,0.321,1.155885,0,0.271,0.123,29.94
"2020-02-06 18:00:00",195,27.01,71.25,0.074,0.2665414,0,0.271,0.123,26.76
"2020-02-06 19:00:00",196,26.04,75.29,0.002,0.006583209,0,0.271,0.122,25.3
"2020-02-06 20:00:00",197,25.73,73.86,0,3.567044E-05,0,0.271,0.122,24.87
"2020-02-06 21:00:00",198,25.64,74.42,0,3.264874E-05,0,0.271,0.121,24.55
"2020-02-06 22:00:00",199,25.4,79.63,0,3.475857E-05,0,0.271,0.121,24.4
"2020-02-06 23:00:00",200,25.43,79.44,0,3.740478E-05,0,0.271,0.12,24.54
"2020-02-07 00:00:00",201,25.32,79.73,0,3.509828E-05,0,0.27,0.12,24.48
"2020-02-07 01:00:00",202,24.31,88,0,3.432944E-05,0,0.27,0.119,23.96
"2020-02-07 02:00:00",203,24.3,85,0,2.925154E-05,0,0.269,0.119,23.7
"2020-02-07 03:00:00",204,24.45,89.7,0,3.241629E-05,0.762,0.269,0.118,23.77
"2020-02-07 04:00:00",205,23.42,92.1,0,2.88403E-05,0,0.267,0.117,23.2
"2020-02-07 05:00:00",206,23.54,86.3,0,3.415064E-05,0,0.266,0.116,23.12
"2020-02-07 06:00:00",207,23.98,87.4,0,3.556315E-05,0,0.266,0.116,23.23
